candidate_id,candidate_origin,panel_order,selection_class,scaffold,cluster,acquisition_score,protocol_disagreement,glide_score,phase14_glide_rank,glide_evidence_status,glide_missing_reason,glide_evidence_source,vina_score,open_mmgbsa_deltaG,open_mmgbsa_sd,frame_count,qc_status,protocol_id,protocol_hash,glide_utility,glide_finite,glide_cohort_n,vina_utility,vina_finite,vina_cohort_n,mmgbsa_utility,open_mmgbsa_finite,open_mmgbsa_cohort_n,protocol_count,three_protocol_complete,three_protocol_status,three_protocol_missing_reason,normalization,interpretation,glide_vs_vina_disagreement,glide_vs_vina_disagreement_status,glide_vs_vina_disagreement_reason,glide_vs_open_mmgbsa_disagreement,glide_vs_open_mmgbsa_disagreement_status,glide_vs_open_mmgbsa_disagreement_reason,vina_vs_open_mmgbsa_disagreement,vina_vs_open_mmgbsa_disagreement_status,vina_vs_open_mmgbsa_disagreement_reason,three_protocol_consensus,normalized_rank_variance,three_protocol_disagreement,three_protocol_disagreement_status,three_protocol_disagreement_reason
ATP-HTVS-397149B089BD,phase15_historical_htvs,29,scaffold_diverse,c1ccc(Cn2cc(C[NH2+]Cc3cccc4c3CCN4)c(-c3ccccc3)n2)cc1,816,0.0570203081232493,0.1740196078431372,-5.85385473217396,55.0,available_exact_candidate_id,,results/phase14/glide_vina_protocol_disagreement.csv; exact candidate_id,-8.594,-17.68,2.83,50,pass,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,0.5652173913043479,True,24,0.48275862068965514,True,30,0.31034482758620685,True,30,3,True,available,,within_protocol_finite_cohort_percentile; lower raw value is better,protocol consistency only; not biological activity,0.08245877061469276,available,,0.25487256371814104,available,,0.1724137931034483,available,,0.45277361319340326,0.011276220959984784,0.25487256371814104,available,
ATP-HTVS-7BEC4E93BD87,phase15_historical_htvs,19,medium_controls,O=C(Nc1c[nH+]c2ccccc2c1NCCc1ccccc1)c1ccccc1,164,0.0391694988867748,0.3431372549019608,-3.78499474999287,1098.0,available_exact_candidate_id,,results/phase14/glide_vina_protocol_disagreement.csv; exact candidate_id,-8.363,-14.17,2.17,50,pass,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,0.26086956521739135,True,24,0.3448275862068966,True,30,0.2068965517241379,True,30,3,True,available,,within_protocol_finite_cohort_percentile; lower raw value is better,protocol consistency only; not biological activity,0.08395802098950522,available,,0.05397301349325345,available,,0.13793103448275867,available,,0.2708645677161419,0.0032207784163890093,0.13793103448275867,available,
ATP-HTVS-9F81613398D9,phase15_historical_htvs,12,medium_controls,O=C(Nc1ncc(NCc2ccccc2)cc1-n1cccc1)c1ccccc1,54,0.0395069647244861,0.3394607843137255,-3.79144316095327,1094.0,available_exact_candidate_id,,results/phase14/glide_vina_protocol_disagreement.csv; exact candidate_id,-8.362,-13.92,2.74,50,pass,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,0.30434782608695654,True,24,0.31034482758620685,True,30,0.1724137931034483,True,30,3,True,available,,within_protocol_finite_cohort_percentile; lower raw value is better,protocol consistency only; not biological activity,0.0059970014992503096,available,,0.13193403298350825,available,,0.13793103448275856,available,,0.2623688155922039,0.004051947039973265,0.13793103448275856,available,
ATP-HTVS-E71202E475AE,phase15_historical_htvs,20,multi_protocol_strong,O=C(Nc1ccccc1)Nc1ccc(OCc2ccccc2)nc1,427,0.057406950280112,0.0337009803921568,-6.19841322737428,23.0,available_exact_candidate_id,,results/phase14/glide_vina_protocol_disagreement.csv; exact candidate_id,-9.176,-24.54,2.42,50,pass,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,0.7391304347826086,True,24,0.6896551724137931,True,30,0.8275862068965517,True,30,3,True,available,,within_protocol_finite_cohort_percentile; lower raw value is better,protocol consistency only; not biological activity,0.0494752623688155,available,,0.08845577211394307,available,,0.13793103448275856,available,,0.7521239380309845,0.003255243942246766,0.13793103448275856,available,
ATP-GEN-28C82FC9CA0D,phase16_generated,24,generated_acquisition,c1ccc(Cn2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3ccccc3)n2)cc1,generated,0.7245637077174846,,,,scientifically_unavailable,no_comparable_historical_glide_result_for_candidate_identity,,-8.899,-29.31,1.88,50,pass,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,,False,24,0.5517241379310345,True,30,0.9310344827586207,True,30,2,False,scientifically_unavailable,glide_missing,within_protocol_finite_cohort_percentile; lower raw value is better,protocol consistency only; not biological activity,,scientifically_unavailable,one_or_both_protocols_missing,,scientifically_unavailable,one_or_both_protocols_missing,0.3793103448275862,available,,,,,scientifically_unavailable,requires_three_finite_protocol_observations
ATP-GEN-7A898D5E996B,phase16_generated,7,generated_high_ranking,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,generated,0.7358589216277227,,,,scientifically_unavailable,no_comparable_historical_glide_result_for_candidate_identity,,-8.954,-20.52,2.03,50,pass,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,,False,24,0.5862068965517242,True,30,0.6206896551724138,True,30,2,False,scientifically_unavailable,glide_missing,within_protocol_finite_cohort_percentile; lower raw value is better,protocol consistency only; not biological activity,,scientifically_unavailable,one_or_both_protocols_missing,,scientifically_unavailable,one_or_both_protocols_missing,0.03448275862068961,available,,,,,scientifically_unavailable,requires_three_finite_protocol_observations
ATP-GEN-83963B27D9CD,phase16_generated,10,generated_acquisition,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,generated,0.7281848333536313,,,,scientifically_unavailable,no_comparable_historical_glide_result_for_candidate_identity,,-8.562,-18.9,2.88,50,pass,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,,False,24,0.4482758620689655,True,30,0.4482758620689655,True,30,2,False,scientifically_unavailable,glide_missing,within_protocol_finite_cohort_percentile; lower raw value is better,protocol consistency only; not biological activity,,scientifically_unavailable,one_or_both_protocols_missing,,scientifically_unavailable,one_or_both_protocols_missing,0.0,available,,,,,scientifically_unavailable,requires_three_finite_protocol_observations
ATP-GEN-B94A3A6839BC,phase16_generated,8,generated_diverse_novel,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,generated,0.690575398705704,,,,scientifically_unavailable,no_comparable_historical_glide_result_for_candidate_identity,,-8.366,-30.11,3.7,50,pass,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,,False,24,0.3793103448275862,True,30,0.9655172413793104,True,30,2,False,scientifically_unavailable,glide_missing,within_protocol_finite_cohort_percentile; lower raw value is better,protocol consistency only; not biological activity,,scientifically_unavailable,one_or_both_protocols_missing,,scientifically_unavailable,one_or_both_protocols_missing,0.5862068965517242,available,,,,,scientifically_unavailable,requires_three_finite_protocol_observations
ATP-GEN-B9896EAB127D,phase16_generated,17,generated_acquisition,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,generated,0.7251811391223155,,,,scientifically_unavailable,no_comparable_historical_glide_result_for_candidate_identity,,-8.516,-18.8,1.86,50,pass,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,,False,24,0.4137931034482759,True,30,0.3793103448275862,True,30,2,False,scientifically_unavailable,glide_missing,within_protocol_finite_cohort_percentile; lower raw value is better,protocol consistency only; not biological activity,,scientifically_unavailable,one_or_both_protocols_missing,,scientifically_unavailable,one_or_both_protocols_missing,0.034482758620689724,available,,,,,scientifically_unavailable,requires_three_finite_protocol_observations
ATP-REF-IN2,internal_reference,1,reference_IN2,,reference,,,,,scientifically_unavailable,no_comparable_historical_glide_result_for_candidate_identity,,-8.212,-24.64,2.88,50,pass,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,,False,24,0.24137931034482762,True,30,0.8620689655172413,True,30,2,False,scientifically_unavailable,glide_missing,within_protocol_finite_cohort_percentile; lower raw value is better,protocol consistency only; not biological activity,,scientifically_unavailable,one_or_both_protocols_missing,,scientifically_unavailable,one_or_both_protocols_missing,0.6206896551724137,available,,,,,scientifically_unavailable,requires_three_finite_protocol_observations
