candidate_id,candidate_origin,parent_id,canonical_smiles,scaffold,cluster,selection_class,glide_score,glide_rank,vina_score,vina_rank,acquisition_score,protocol_disagreement,novelty,tractability,pose_path,stage_added,panel_order,resolved_pose_path,pose_sha256,pose_evidence_source,pose_source_result,source_pose_protocol
ATP-HTVS-3DA95123E47A,phase15_historical_htvs,,C[NH+]1CCN(c2ccc(CNCc3oc4ccc(F)cc4c3-c3ccccc3)cc2)CC1,c1ccc(-c2c(CNCc3ccc(N4CC[NH2+]CC4)cc3)oc3ccccc23)cc1,810,rank_boundary_uncertain,,1404.0,-9.373,49.0,0.0604118522408963,0.8302696078431373,1.0,,,pilot30,21,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/ed/ed994b0ae4fa16e80851ccd9723d675fbce6393cd5b8f770ad99cabb85a45365/pose.pdbqt,3b0f2290f3df8ad4c86656dcef3684c2240c70e394a70f64ed102a5995a2d86e,phase14_vina_success_cache,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/ed/ed994b0ae4fa16e80851ccd9723d675fbce6393cd5b8f770ad99cabb85a45365/result.json,vina_7p3w_v1
ATP-HTVS-1356F7D69808,phase15_historical_htvs,,C[NH+](C)Cc1ccc(NC(=O)NC[C@H]2c3ccccc3C(=O)N2Cc2ccccc2)c(F)c1,O=C(NCC1c2ccccc2C(=O)N1Cc1ccccc1)Nc1ccccc1,889,scaffold_diverse,,420.0,-9.306,58.0,0.057204131652661,0.221813725490196,1.0,,,pilot30,22,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/60/601b9e04e60099652ecd38335ba99c85b24d55124399283dc9811502d604bfe7/pose.pdbqt,4643d67ba0f26d1234e5875093c75a5c23fd2ee4eb9d63e6ffc308fbea2eec79,phase14_vina_success_cache,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/60/601b9e04e60099652ecd38335ba99c85b24d55124399283dc9811502d604bfe7/result.json,vina_7p3w_v1
ATP-HTVS-DF8AF7E8BFB3,phase15_historical_htvs,,C[C@H](C[NH2+]C[C@@H]1c2ccccc2C(=O)N1Cc1ccccc1)c1ccccc1,O=C1c2ccccc2C(C[NH2+]CCc2ccccc2)N1Cc1ccccc1,448,extreme_disagreement,,44.0,-6.319,1527.0,0.0608959208683473,0.9087009803921569,1.0,,,pilot30,23,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/b1/b18242aa2d3c5d1d10fa74fb9e8bb0bd087a7f324c1c607b26539fea7b6d33f3/pose.pdbqt,da3b9ec746afcdda98f7e56cfe31ab9871d5c3523036f1c2176c7b82370878d1,phase14_vina_success_cache,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/b1/b18242aa2d3c5d1d10fa74fb9e8bb0bd087a7f324c1c607b26539fea7b6d33f3/result.json,vina_7p3w_v1
ATP-GEN-28C82FC9CA0D,phase16_generated,ATP-SMI-874C2DE25FE4,Cc1ccc(-c2nn(Cc3ccccc3)c(C#N)c2C[NH2+]Cc2ccccc2C[N@H+]2CC[C@@H](O)C2)cc1,c1ccc(Cn2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3ccccc3)n2)cc1,generated,generated_acquisition,,,-8.899,6.0,0.7245637077174846,,0.6075949367088608,0.6722222222222223,results\phase16\poses\ATP-GEN-28C82FC9CA0D_vina_7p3w_v1.pdbqt,pilot30,24,/mnt/d/tiaozhansai/ATP-Navigator/results/phase16/poses/ATP-GEN-28C82FC9CA0D_vina_7p3w_v1.pdbqt,d7ce344cde40263c0b8d753206a8b8dcbf0626d2688be43d68a31f77b7cb84e8,phase16_declared_vina_pose,,vina_7p3w_v1
ATP-HTVS-F0EA8E73CD83,phase15_historical_htvs,,C[NH+](C)Cc1cccc(CNc2cc(C(=O)N(CC[NH3+])c3ccc(Cl)cc3)sc2Cl)c1,O=C(Nc1ccccc1)c1cc(NCc2ccccc2)cs1,224,historical_bridge_interpretable,,163.0,-7.383,1227.0,0.0480384525874308,0.6519607843137255,0.6871244233158569,,,pilot30,25,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/72/728ef6b8e8a346c6200050ed755033d4445826d1d91b74376dda6886c91000bf/pose.pdbqt,5a913dbdcb7ca04799d03aa983a9ab36611a93184e0d950d82006b51490b9db9,phase14_vina_success_cache,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/72/728ef6b8e8a346c6200050ed755033d4445826d1d91b74376dda6886c91000bf/result.json,vina_7p3w_v1
ATP-HTVS-48ECC7021683,phase15_historical_htvs,,C[NH+](C)Cc1cccc(CNc2csc(C(=O)NCc3cccc(Cl)c3)c2)c1,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,189,medium_controls,,688.0,-7.885,944.0,0.0326821520225232,0.1568627450980392,0.5256206695802796,,,pilot30,26,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/da/da375d3446b35c734752ea42264403fbe7c67128fb667fd946ad84fb9f15a565/pose.pdbqt,0836829cecbf82729ba01948420174c7b898b87dd7bc581fe3e06d4a4dab71b2,phase14_vina_success_cache,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/da/da375d3446b35c734752ea42264403fbe7c67128fb667fd946ad84fb9f15a565/result.json,vina_7p3w_v1
ATP-HTVS-B847417F307C,phase15_historical_htvs,,O=C(Cc1ccc(F)cc1)Nc1cnc2ccccc2c1C#CC(=O)c1ccccc1,O=C(Cc1ccccc1)Nc1cnc2ccccc2c1C#CC(=O)c1ccccc1,538,multi_protocol_strong,,132.0,-9.706,26.0,0.0570080532212885,0.0649509803921568,1.0,,,pilot30,27,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/90/9079f57f2e37477b4bd532cbd732e9e7d7b6811085e2a5e16c994f43dfc360dc/pose.pdbqt,6c6a36c27552f3c3306d44b652dc22d7fd6767c09b5db34ac5c7f7ebecf9c8b4,phase14_vina_success_cache,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/90/9079f57f2e37477b4bd532cbd732e9e7d7b6811085e2a5e16c994f43dfc360dc/result.json,vina_7p3w_v1
ATP-HTVS-9E45A7CB1B23,phase15_historical_htvs,,CC(C)Nc1ccc(CNC(=O)Cn2c(COc3ccccc3)[nH+]c3ccccc32)cc1,O=C(Cn1c(COc2ccccc2)[nH+]c2ccccc21)NCc1ccccc1,603,rank_boundary_uncertain,,1461.0,-9.107,96.0,0.059578518907563,0.8363970588235294,1.0,,,pilot30,28,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/bf/bff0b90da1ee24d81685dc584c724f791d0f9305aa1536d4cade70ea602eecce/pose.pdbqt,e2d5ee55b6c543e5b051f740098816bb119ccdaf8d7fae718f8eaf688248bb97,phase14_vina_success_cache,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/bf/bff0b90da1ee24d81685dc584c724f791d0f9305aa1536d4cade70ea602eecce/result.json,vina_7p3w_v1
ATP-HTVS-397149B089BD,phase15_historical_htvs,,Cc1cccc(-c2nn(Cc3ccccc3)cc2C[NH2+]Cc2cccc3c2CCN3)c1,c1ccc(Cn2cc(C[NH2+]Cc3cccc4c3CCN4)c(-c3ccccc3)n2)cc1,816,scaffold_diverse,,55.0,-8.594,339.0,0.0570203081232493,0.1740196078431372,1.0,,,pilot30,29,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/e6/e6ea59e32e8a78d3c246130a39d45e06eb26c08132c574e97093921fdc9bf091/pose.pdbqt,60ec0fece9d1c4ca03c80f312f1f8a979d05804416aaaaa80fab4e65e38cda57,phase14_vina_success_cache,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/e6/e6ea59e32e8a78d3c246130a39d45e06eb26c08132c574e97093921fdc9bf091/result.json,vina_7p3w_v1
ATP-HTVS-9505CBC4E7EE,phase15_historical_htvs,,CN(C)Cc1ccc(CCNc2nc(NCc3cccc4c3OCO4)[nH+]c3ccccc23)cc1,c1ccc(CCNc2nc(NCc3cccc4c3OCO4)[nH+]c3ccccc23)cc1,133,extreme_disagreement,,1554.0,-9.7,27.0,0.0593052743190109,0.9356617647058824,0.898102476454747,,,pilot30,30,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/a3/a37970ed188345c03c83498e50b495563c04ead7b5293124bedd450af1f76b8e/pose.pdbqt,a3bbe8c7d7b55df804328694cc3ab0727e7adab7bed8a0bbc738aa84471996ec,phase14_vina_success_cache,/mnt/d/tiaozhansai/ATP-Navigator/workspace_local/phase14_vina/jobs/a3/a37970ed188345c03c83498e50b495563c04ead7b5293124bedd450af1f76b8e/result.json,vina_7p3w_v1
