canonical_id,original_name,source,confidence
ATP-HTVS-0B0619B736F3,87937,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,confirmed
ATP-HTVS-0B15CB8240E3,99809,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,confirmed
ATP-HTVS-0B527D484045,76929,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,confirmed
ATP-HTVS-0B76E6A2B6F2,90146,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,confirmed
ATP-HTVS-0BEF59EEEAC9,79426,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,confirmed
ATP-HTVS-0C1598B702AE,55106,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,confirmed
ATP-HTVS-0C253F9D7643,68259,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,confirmed
ATP-HTVS-0C40F7CB6A92,58402,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,confirmed
ATP-HTVS-0C765FB89CD3,40065,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,confirmed
ATP-HTVS-0C924C2A1F00,82563,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,confirmed
ATP-HTVS-0CA591B42E29,85378,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,confirmed
ATP-HTVS-0CB0406266F3,38243,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,confirmed
ATP-HTVS-0CBFB91815ED,70274,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,confirmed
ATP-HTVS-0CC0B448CED2,38179,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,confirmed
ATP-HTVS-0CD00DCFE488,46273,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,confirmed
ATP-HTVS-0CE67B896AED,99842,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,confirmed
ATP-HTVS-0D57BDDB1211,69729,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,confirmed
ATP-HTVS-0D83F5E9F976,52769,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,confirmed
ATP-HTVS-0D8C52C362EE,73825,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,confirmed
ATP-HTVS-0DE7571C9DAC,43267,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,confirmed
ATP-HTVS-0E6472D072C2,1473,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,confirmed
ATP-HTVS-0E76F39BB090,32387,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,confirmed
ATP-HTVS-0E779CFB9E8D,92771,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,confirmed
ATP-HTVS-0EB7A7111FDE,80385,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,confirmed
ATP-HTVS-0F3A12BD04AB,91361,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,confirmed
ATP-HTVS-0F469DA925F8,70337,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,confirmed
ATP-HTVS-0F46F3379ABF,71235,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,confirmed
ATP-HTVS-0F4AF3905209,96993,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,confirmed
ATP-HTVS-0F6915EAEEA3,79267,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,confirmed
