canonical_id,stage,score,source_file
ATP-HTVS-4C6C1EFD2AA2,HTVS,-2.38857795789421,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-4CC80B7019B2,HTVS,-5.14583920167387,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-4CC80B7019B2,HTVS,-4.00472833274474,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-4CC80B7019B2,HTVS,-2.53277854860835,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-4CFD3E435A48,HTVS,-5.64869376221623,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-4D1ED9B826E8,HTVS,-3.09401990408603,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-4D974321991D,HTVS,-2.16155537020466,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-4DC88D9567D5,HTVS,-4.57272995839587,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-4DC88D9567D5,HTVS,-4.35935862010757,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-4DC88D9567D5,HTVS,-3.09100514561629,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-4DC88D9567D5,HTVS,-2.6739227791514,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-4DC88D9567D5,HTVS,-2.27400885136819,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-4DC88D9567D5,HTVS,-2.27339468780078,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-4DC88D9567D5,HTVS,-1.4972666993531,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-4DC88D9567D5,HTVS,-1.08149714409981,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-4DE86EAA2D32,HTVS,-5.40904442602518,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-4DE86EAA2D32,HTVS,-4.21064879115232,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-4DE86EAA2D32,HTVS,-4.18991972740055,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-4DE86EAA2D32,HTVS,-4.13157615886774,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-4DE86EAA2D32,HTVS,-3.6096220494651,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-4DE86EAA2D32,HTVS,-2.80746106357144,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-4DE86EAA2D32,HTVS,-2.10544090392892,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-4DE86EAA2D32,HTVS,-1.38712257901733,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
