canonical_id,compound_code,title,variant,pose_index,glide_docking_score,glide_gscore,glide_emodel,glide_energy,glide_evdw,glide_ecoul,glide_einternal,glide_eff_state_penalty,glide_ligand_efficiency,glide_ligand_efficiency_sa,glide_ligand_efficiency_ln,quickprop_accpthb,quickprop_acid,quickprop_acxdn_5_sa,quickprop_amide,quickprop_amidine,quickprop_amine,quickprop_ciqplogs,quickprop_cns,quickprop_dip_2_v,quickprop_dipole,quickprop_donorhb,quickprop_ea_ev,quickprop_fisa,quickprop_fosa,quickprop_glob,quickprop_humanoralabsorption,quickprop_in34,quickprop_in56,quickprop_ip_ev,quickprop_jm,quickprop_metab,quickprop_mol_mw,quickprop_nando,quickprop_noncon,quickprop_nonhatm,quickprop_percenthumanoralabsorption,quickprop_pisa,quickprop_psa,quickprop_qplogbb,quickprop_qplogherg,quickprop_qplogkhsa,quickprop_qplogkp,quickprop_qplogpc16,quickprop_qplogpo_w,quickprop_qplogpoct,quickprop_qplogpw,quickprop_qplogs,quickprop_qppcaco,quickprop_qppmdck,quickprop_qppolrz,quickprop_ringatoms,quickprop_rotor,quickprop_rtvfg,quickprop_ruleoffive,quickprop_ruleofthree,quickprop_saamideo,quickprop_safluorine,quickprop_sasa,quickprop_stars,quickprop_volume,quickprop_wpsa,source_file
ATP-HTVS-F9EAD73A28F1,29603,m_270004bbb____8289108____24720860,29603-5,915,-2.64915801521619,-4.16805801521619,-48.8135949854298,-43.4361972808838,-38.1318473815918,-5.30434989929199,12.8357858657837,1.5189,-0.0802775156126118,-0.25749288695412,-0.589159025977975,5.75,0,0.0080274,0,0,2,-5.081,1,0.0291498,6.401,1,0.109,28.891,333.31,0.8471194,3,0,21,8.551,0.0662294364120832,7,442.603,5,0,33,100,354.093,37.616,0.429,-7.147,0.856,-3.874,14.117,4.881,20.02,8.75,-2.951,327.89,181.413,46.409,21,11,0,0,1,0,0,716.293,0,1405.418,0,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-F9EAD73A28F1,29603,m_270004bbb____8289108____24720860,29603-6,1050,-2.26806637456264,-3.78696637456264,-43.8791934997027,-41.8506844043732,-38.2672576904297,-3.58342671394348,15.7603607177734,1.5189,-0.0687292840776557,-0.220451537898179,-0.504406218283537,5.75,0,0.0081195,0,0,2,-5.081,1,0.0156309,4.68,1,0.099,31.028,326.114,0.8550351,3,0,21,8.587,0.0823400807566894,7,442.603,5,0,33,100,351.025,39.161,0.415,-7.004,0.847,-3.924,14.062,4.837,19.799,8.724,-2.807,312.937,172.488,46.203,21,11,0,0,1,0,0,708.168,0,1400.983,0,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-F9EAD73A28F1,29603,m_270004bbb____8289108____24720860,29603-7,1089,-2.17612524319534,-3.77732524319534,-32.2565382339268,-34.2648234367371,-29.4914512634277,-4.77337217330933,26.2605457305908,1.6012,-0.0659431891877375,-0.211515042902556,-0.483958986713151,5.75,0,0.0080514,0,0,2,-5.081,2,0.0110346,3.936,1,0.23,14.138,342.779,0.8490703,3,0,21,8.633,0.138694247350173,7,442.603,5,0,33,100,357.244,33.503,0.567,-7.13,0.853,-3.591,14.02,4.978,19.701,8.666,-2.913,452.51,256.971,46.382,21,11,0,0,1,0,0,714.161,0,1403.983,0,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-F9EAD73A28F1,29603,m_270004bbb____8289108____24720860,29603-8,1452,0.553199765340755,-1.04800023465924,-6.9146362169878,-12.7912471294403,-10.4516105651855,-2.33963656425476,13.8468894958496,1.6012,0.0167636292527502,0.0537699162608494,0.123028763496694,5.75,0,0.0085769,0,0,2,-5.081,2,0.0140627,4.421,1,0.255,14.673,345.289,0.8985101,3,0,21,8.446,0.554611079354724,7,442.603,5,0,33,100,310.442,32.648,0.576,-6.107,0.835,-3.765,13.574,4.852,19.506,8.246,-2.137,447.259,253.749,45.379,21,11,0,0,1,0,0,670.404,0,1390.088,0,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-F9F42C67BCEC,77858,rxn512b____EMOL480615____EMOL44846536____EMOL2873214,77858-1,531,-3.75454372119379,-3.79764372119379,-53.253467619534,-41.0857481956482,-33.9934616088867,-7.09228658676147,2.65661001205444,0.0431,-0.134090847185492,-0.407178787340663,-0.866658929045329,5.5,0,0.012889,0,0,2,-4.285,2,0.0377645,6.721,2,0.681,53.988,209.009,0.9029546,3,0,17,8.3,0.0446568705824797,6,413.964,4,0,28,88.928,241.793,55.447,0.679,-5.708,0.469,-5.02,12.679,3.623,19.463,9.8,-1.947,189.552,348.349,38.883,17,8,0,0,0,0,0,603.476,0,1196.027,98.685,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-F9F42C67BCEC,77858,rxn512b____EMOL480615____EMOL44846536____EMOL2873214,77858-2,967,-2.51489644928596,-4.08949644928596,-43.1304481632609,-37.825788974762,-32.475830078125,-5.34995889663696,9.87739086151123,1.5746,-0.0898177303316413,-0.272739529101023,-0.580511941063523,5.5,0,0.0128546,0,0,2,-4.285,2,0.0444255,7.278,2,0.8,57.463,203.294,0.8987084,3,0,17,8.39,0.0345232826643953,6,413.964,4,0,28,88.142,241.306,54.145,0.657,-5.774,0.456,-5.086,12.687,3.59,19.524,9.826,-1.993,175.703,338.978,38.732,17,8,0,0,0,0,0,605.087,0,1192.361,103.024,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-FA0319FBED9B,77281,rxn512c____EMOL24630243____EMOL36725275____EMOL38100949,77281-3,65,-5.17905081615349,-5.94035081615349,-74.1890371304594,-49.4599704742432,-33.2344436645508,-16.2255268096924,8.53370761871338,0.7613,-0.147972880461528,-0.484029103525638,-1.1369165969856,7.5,0,0.0135322,0,0,1,-6.938,0,0.0116706,4.128,2,1.569,128.67,209.559,0.794132,1,0,22,9.071,0.000059526800079519,6,467.545,6,0,35,91.575,398.974,80.64,-0.826,-7.492,0.686,-3.684,15.713,4.397,24.195,13.542,-6.211,148.808,125.664,50.313,22,9,0,0,1,0,46.6,783.803,0,1460.166,46.6,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-FA0319FBED9B,77281,rxn512c____EMOL24630243____EMOL36725275____EMOL38100949,77281-2,129,-4.885048033683,-5.076948033683,-62.2846945579612,-44.3909282684326,-34.4194183349609,-9.97150993347168,6.14190101623535,0.1919,-0.139572800962371,-0.456551886505603,-1.07237646119313,7.5,0,0.0138313,0,0,1,-6.938,0,0.0073965,3.263,2,1.676,123.815,210.938,0.8041428,3,0,22,8.856,0.000127570375098347,6,467.545,6,0,35,91.81,385.216,82.179,-0.742,-7.264,0.64,-3.643,15.35,4.296,23.802,13.375,-5.921,165.449,141.429,49.369,22,9,0,0,1,0,46.886,766.855,0,1439.866,46.886,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-FA0319FBED9B,77281,rxn512c____EMOL24630243____EMOL36725275____EMOL38100949,77281-4,214,-4.58229927432995,-5.34359927432995,-68.1960381844116,-46.0661478042603,-33.4460754394531,-12.6200723648071,5.36534738540649,0.7613,-0.130922836409427,-0.428257278905675,-1.00591638936844,7.5,0,0.0131197,0,0,1,-6.938,0,0.0074653,3.327,2,1.661,121.781,235.058,0.7778096,1,0,22,8.844,0.0000312958592842933,6,467.545,6,0,35,93.82,404.794,81.706,-0.808,-7.784,0.733,-3.536,16.002,4.58,24.375,13.594,-6.638,172.963,148.249,51.269,22,9,0,0,1,0,46.814,808.447,1,1482.652,46.814,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-FA0319FBED9B,77281,rxn512c____EMOL24630243____EMOL36725275____EMOL38100949,77281-1,288,-4.38518709555152,-4.57708709555152,-57.320626537142,-41.5954327583313,-36.1505737304688,-5.44485902786255,2.88395285606384,0.1919,-0.125291059872901,-0.409835364432364,-0.962645891457467,7.5,0,0.0134992,0,0,1,-6.938,0,0.011538,4.104,2,1.584,130.227,209.425,0.7921316,1,0,22,9.085,0.0000517739934066004,6,467.545,6,0,35,91.237,399.399,81.11,-0.85,-7.526,0.684,-3.711,15.735,4.384,24.191,13.56,-6.245,143.832,121.239,50.311,22,9,0,0,1,0,46.673,785.723,0,1460,46.673,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
