canonical_id,compound_code,title,variant,pose_index,glide_docking_score,glide_gscore,glide_emodel,glide_energy,glide_evdw,glide_ecoul,glide_einternal,glide_eff_state_penalty,glide_ligand_efficiency,glide_ligand_efficiency_sa,glide_ligand_efficiency_ln,quickprop_accpthb,quickprop_acid,quickprop_acxdn_5_sa,quickprop_amide,quickprop_amidine,quickprop_amine,quickprop_ciqplogs,quickprop_cns,quickprop_dip_2_v,quickprop_dipole,quickprop_donorhb,quickprop_ea_ev,quickprop_fisa,quickprop_fosa,quickprop_glob,quickprop_humanoralabsorption,quickprop_in34,quickprop_in56,quickprop_ip_ev,quickprop_jm,quickprop_metab,quickprop_mol_mw,quickprop_nando,quickprop_noncon,quickprop_nonhatm,quickprop_percenthumanoralabsorption,quickprop_pisa,quickprop_psa,quickprop_qplogbb,quickprop_qplogherg,quickprop_qplogkhsa,quickprop_qplogkp,quickprop_qplogpc16,quickprop_qplogpo_w,quickprop_qplogpoct,quickprop_qplogpw,quickprop_qplogs,quickprop_qppcaco,quickprop_qppmdck,quickprop_qppolrz,quickprop_ringatoms,quickprop_rotor,quickprop_rtvfg,quickprop_ruleoffive,quickprop_ruleofthree,quickprop_saamideo,quickprop_safluorine,quickprop_sasa,quickprop_stars,quickprop_volume,quickprop_wpsa,source_file,pose_count,variant_count,source_file_count,source_file_exists,known_internal_overlap,smiles,structure_status,feature_completeness,trace_complete,selection_eligible,docking_priority,emodel_priority,ligand_efficiency_priority,exploitation_score,selected_for_phase8,acquisition_id,priority,wave,selection_arm
ATP-HTVS-0125A5267C6C,70530,rxn502b____EMOL490868____EMOL7515103____EMOL2873214,70530-1,251,-4.51418145101,-4.57728145101,-58.5210689917541,-43.096227645874,-30.0386276245117,-13.0576000213623,5.00525331497192,0.0631,-0.141068170344062,-0.447863523489396,-1.01084827882005,7.25,0,0.0157009,0,0,1,-5.143,-1,0.0594844,9.183,3.0,0.866,124.714,209.081,0.7630709,3,0,22,7.665,0.0005484887682257,8,426.517,6,0,32,89.72,465.991,82.835,-0.948,-8.314,0.581,-3.471,16.469,3.965,25.743,15.432,-5.42,162.232,76.645,49.893,22,8,0,0,1,0.0,0.0,799.786,2,1417.623,0.0,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,3,3,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.6350275566442131,0.6546233925290875,0.6301285976729945,0.6399265156154317,False,,,,
ATP-HTVS-0161AEC2E23E,48867,m_269862bba____24386160____7200598,48867-1,161,-4.83483869865031,-4.99863869865031,-58.5792915755031,-43.1074438095093,-34.1391296386719,-8.9683141708374,10.1964387893677,0.1638,-0.172672810666082,-0.524336352029001,-1.1160227286811,4.5,0,0.0067262,0,0,2,-4.381,1,0.0396754,7.024,1.0,1.281,68.501,280.522,0.8358933,3,0,17,8.935,0.0012011790587909,7,395.518,5,0,28,89.379,297.349,56.809,0.341,-7.058,0.834,-5.188,12.729,4.121,18.166,8.179,-3.33,138.071,94.789,41.955,17,7,0,0,1,0.0,0.0,669.025,0,1243.49,22.653,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,6,6,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.7654623392529087,0.6607470912431108,0.8781383955909369,0.7565829761175751,False,,,,
ATP-HTVS-017DA1C05B1D,98562,rxn503b____EMOL3801098____EMOL7515103____EMOL1468452,98562-4,256,-4.47627817522789,-5.04487817522789,-59.9010911131155,-43.3309326171875,-31.7631168365479,-11.5678157806396,6.94728755950928,0.5686,-0.131655240447879,-0.426511870153629,-0.988935404257813,6.5,0,0.0112624,0,0,1,-6.864,-2,0.0974431,12.005,2.0,1.211,128.164,166.567,0.7691857,1,0,22,8.43,3.06254063894e-05,6,444.535,5,0,34,94.465,521.473,83.405,-1.025,-8.48,0.91,-3.243,17.197,4.876,25.351,13.449,-6.919,150.461,70.652,52.241,22,9,0,0,1,0.0,0.0,816.204,2,1479.099,0.0,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,2,2,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.616044090630741,0.7127985303123087,0.5162278015921616,0.6251071647274954,False,,,,
ATP-HTVS-01DF3EF44742,99137,rxn514b____EMOL483896____EMOL17240199____EMOL4279023,99137-1,265,-4.47878814702221,-4.52408814702221,-55.4649608836707,-41.6894760131836,-32.9641265869141,-8.72534942626953,5.44252252578735,0.0453,-0.154440970586973,-0.474491591977025,-1.02552891339996,7.7,0,0.0118558,0,0,1,-4.103,1,0.0212553,5.139,1.0,0.521,119.978,220.068,0.8605659,2,0,18,8.272,0.144755551290403,9,390.484,6,0,29,84.18,309.425,76.197,-0.66,-5.99,0.112,-3.839,13.016,2.882,19.407,11.267,-2.592,179.905,85.708,40.744,18,9,0,0,1,0.0,0.0,649.471,1,1242.421,0.0,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,2,2,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.6166564605021433,0.5358236374770361,0.7464788732394366,0.6183710961420698,False,,,,
ATP-HTVS-01E9987F6BBC,40801,m_270004bda____24170338____18240806,40801-2,1346,-1.40856773004933,-1.41736773004933,-30.9108722522088,-28.3950754404068,-26.9116172790527,-1.48345816135406,0.0931509733200073,0.0088,-0.0503059903589045,-0.152758615373459,-0.325138789441028,4.5,0,0.0074063,0,0,1,-5.09,2,0.0297986,5.741,1.0,0.894,61.347,35.621,0.8513732,3,0,18,9.495,0.0074406519543542,7,382.384,3,2,28,100.0,406.534,40.641,0.533,-6.602,0.677,-3.089,11.364,4.271,18.319,9.856,-4.622,647.207,1271.164,40.716,23,2,0,0,1,0.0,104.091,607.594,0,1106.249,104.091,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,2,2,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.027556644213104716,0.005511328842620943,0.04102878138395591,0.023637477036129822,False,,,,
ATP-HTVS-02393E0D1A46,72513,rxn502c____EMOL478180____EMOL44472687____EMOL44834539,72513-2,177,-4.68860698749509,-4.72600698749509,-55.092002197439,-43.129599571228,-34.3102836608887,-8.81931591033936,9.12623500823975,0.0374,-0.15628689958317,-0.485619734089009,-1.06530259402372,6.2,0,0.0152081,0,0,0,-6.002,-2,0.0502752,8.05,3.0,0.92,115.615,107.424,0.8111687,3,0,22,8.37,0.0624061258646347,6,397.476,5,0,30,100.0,483.078,79.724,-1.03,-6.891,0.509,-1.276,15.111,4.225,23.732,14.448,-5.528,793.45,385.25,45.548,22,7,0,0,0,0.0,0.0,706.117,1,1288.944,0.0,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,4,4,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.7146356399265156,0.5229638701775873,0.7630128597672995,0.6668095529699939,False,,,,
ATP-HTVS-02527EDCA73D,62593,m_270004bbb____8293672____7549102,62593-3,70,-5.15716390255472,-5.74946390255472,-66.1946803693274,-44.8887348175049,-33.585521697998,-11.3032131195068,5.69697570800781,0.5923,-0.177833238019128,-0.546360048719111,-1.18085975929198,4.7,0,0.0107459,0,0,1,-6.128,1,0.0025597,1.754,2.0,0.292,74.985,103.555,0.8836091,3,0,21,8.67,0.0725281445719692,5,426.344,4,0,29,100.0,326.253,48.6,0.119,-5.697,0.605,-3.047,13.524,4.491,19.16,9.771,-3.723,480.527,1040.695,39.906,21,8,0,0,0,0.0,0.0,618.542,0,1201.426,113.749,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,3,3,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.8695652173913043,0.8848744641763625,0.898958971218616,0.8800367421922841,False,,,,
ATP-HTVS-0258CCAE4910,3905,YAS_R001____OTV6666760____OTV7020701068,3905-1,523,-3.77278250253085,-3.77278250253085,-50.5591658454155,-38.8601069450378,-33.7612495422363,-5.09885740280151,1.23016321659088,0.0,-0.114326742500935,-0.366706950980944,-0.839047294140523,8.5,0,0.0145068,0,0,1,-5.014,1,0.0290388,6.534,2.0,0.632,83.887,257.146,0.7546029,3,0,22,8.025,0.0014080260369994,4,440.544,6,0,33,100.0,487.599,78.696,-0.442,-8.554,0.575,-2.738,16.669,4.254,25.416,15.358,-5.757,395.638,200.889,52.845,22,7,0,0,1,0.0,0.0,828.632,1,1470.186,0.0,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,1,1,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.3251684017146356,0.33496631965707285,0.30434782608695654,0.323943661971831,False,,,,
ATP-HTVS-027CB3113620,20194,WXCD003____AN3784____LN05333710____AK00809,20194-3,976,-2.49226291162582,-4.03976291162583,-48.8819427274015,-40.2608697414398,-38.4150924682617,-1.8457772731781,4.22314929962158,1.5475,-0.0692295253229396,-0.228590855818802,-0.543744434154189,8.5,0,0.0104879,0,0,1,-5.837,1,0.0675452,10.245,1.0,0.941,61.173,360.753,0.8005545,3,0,21,9.017,0.0132109340680096,5,483.612,7,0,36,100.0,388.53,75.467,-0.217,-7.338,0.743,-2.477,16.044,4.963,24.813,12.58,-5.087,649.675,343.381,53.966,21,9,0,0,0,0.0,0.0,810.456,0,1553.935,0.0,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,1,1,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.12124923453766075,0.2657685241886099,0.09614206981016533,0.15958358848744642,False,,,,
ATP-HTVS-0282D10141FD,57825,m_270004bbb____8292364____10709854,57825-1,163,-4.7455117172325,-4.8256117172325,-59.8543821490941,-41.3879108428955,-29.6121635437012,-11.7757472991943,1.6054060459137,0.0801,-0.169482561329732,-0.514648876087467,-1.09540343861573,4.75,0,0.0100124,0,0,1,-5.1,1,0.0254579,5.548,2.0,0.624,79.752,91.756,0.8181042,3,0,23,8.897,0.0140581847394858,7,370.453,5,0,28,100.0,499.414,60.251,-0.134,-7.583,0.71,-2.813,13.992,4.22,20.459,11.778,-4.608,433.023,221.483,43.794,23,5,0,0,1,0.0,0.0,670.922,1,1209.131,0.0,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,3,3,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.736068585425597,0.7103490508266993,0.8603796693202694,0.7532149418248621,False,,,,
ATP-HTVS-028F2DC4E032,96994,rxn318____EMOL50155899____EMOL481226____EMOL476827,96994-1,192,-4.69863757955225,-4.74113757955225,-55.6062228854202,-39.9824905395508,-32.3073081970215,-7.6751823425293,1.45822203159332,0.0425,-0.156621252651742,-0.486658646810963,-1.06758165383116,6.0,0,0.0,0,0,1,-6.464,2,0.0303648,6.279,0.0,0.86,35.883,197.383,0.8110818,3,0,22,9.021,0.022026855366047,3,466.352,4,0,30,100.0,381.239,43.256,0.531,-7.133,0.57,-2.42,13.419,4.879,19.213,9.105,-4.905,1128.549,2071.87,46.242,22,5,0,0,0,0.0,36.271,709.679,0,1298.5,95.174,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,2,2,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.7207593386405389,0.545009185548071,0.7672994488671158,0.6773423147581139,False,,,,
ATP-HTVS-02AC8E798E60,89826,rxn112____EMOL628199____EMOL932560,89826-1,340,-4.27581637536966,-4.38911637536966,-45.1966953343057,-31.8818387985229,-25.9725341796875,-5.90930461883545,1.109454870224,0.1133,-0.152707727691774,-0.463710601313972,-0.986983962859301,4.5,0,0.0,0,0,1,-5.494,1,0.012614,3.914,0.0,1.124,37.281,150.606,0.8538538,3,0,22,8.933,0.116447644559008,6,387.911,3,0,28,100.0,419.269,27.765,0.412,-6.622,0.728,-2.312,12.992,4.878,17.037,7.719,-4.21,1094.614,970.164,43.251,22,5,0,0,0,0.0,0.0,644.794,0,1214.673,37.638,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,3,3,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.5223515003061849,0.16166564605021433,0.7336191059399878,0.45639926515615437,False,,,,
ATP-HTVS-02BB8772E392,54466,m_270004bda____24170338____21415512,54466-2,1246,-1.68205076672122,-1.69085076672122,-31.5168580619952,-30.5129081010818,-29.1439399719238,-1.36896812915802,4.50013065338135,0.0088,-0.0560683588907072,-0.174217427103177,-0.382180261610074,4.5,0,0.0069698,0,0,1,-5.666,2,0.0138971,4.073,1.0,0.54,58.352,75.192,0.84282,3,0,18,9.537,0.0018924812229324,9,410.438,3,2,30,100.0,406.941,39.387,0.552,-6.742,0.912,-3.032,12.134,4.846,19.316,9.931,-5.304,690.956,1382.718,44.214,23,2,0,0,1,0.0,105.155,645.64,1,1193.548,105.155,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,2,2,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.0520514390691978,0.008573178199632579,0.05756276791181874,0.040110226576852426,False,,,,
ATP-HTVS-02DF9A19852D,45889,m_270004bbb____23845970____24720860,45889-2,106,-4.97657782986944,-5.18387782986944,-56.3434563490727,-40.2983684539795,-27.6145343780518,-12.6838340759277,12.6171398162842,0.2073,-0.15551805718342,-0.493739054575634,-1.11439143249592,5.0,0,0.0077925,0,0,2,-5.057,2,0.0185589,4.914,1.0,0.265,34.334,262.034,0.898307,3,0,26,8.544,0.158257601684668,6,424.588,4,4,32,100.0,345.278,33.198,0.534,-6.276,0.829,-4.197,13.224,4.507,18.655,8.25,-2.232,291.145,159.542,43.437,26,9,0,0,0,0.0,0.0,641.646,0,1301.166,0.0,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,1,1,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.8150642988364972,0.5688916105327618,0.7550520514390692,0.729210042865891,False,,,,
ATP-HTVS-0362648F57EF,78755,rxn512b____EMOL31531197____EMOL44846536____EMOL50155899,78755-1,432,-3.94325468056887,-3.98335468056887,-48.7928910151211,-39.5499277114868,-35.2840766906738,-4.26585102081299,5.53395557403564,0.0401,-0.131441822685629,-0.40842030362757,-0.895950428626234,6.0,0,0.0084434,0,0,2,-5.146,2,0.0447282,7.763,1.0,0.709,54.31,353.165,0.8301382,3,0,17,8.276,0.0001163213202149,6,462.436,4,0,30,94.557,139.7,46.003,0.814,-6.399,0.808,-5.481,13.451,4.594,20.361,8.637,-4.118,188.225,782.419,44.6,17,7,0,0,0,0.0,0.0,710.613,0,1347.187,163.439,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,1,1,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.39559093692590325,0.2608695652173913,0.51316595223515,0.378689528475199,False,,,,
ATP-HTVS-03C3664644A2,98497,rxn502c____EMOL521529____EMOL49259969____EMOL36790511,98497-2,385,-4.15070282757494,-4.15180282757494,-48.038259212933,-39.1962077617645,-36.3223114013672,-2.87389636039734,3.6478443145752,0.0011,-0.125778873562877,-0.403440054470922,-0.923094817663609,5.75,0,0.0084343,1,0,0,-7.802,-1,0.0587291,8.854,1.0,1.144,113.853,150.966,0.8600464,3,0,21,8.621,0.030128953724953,7,455.573,5,0,33,100.0,386.558,71.113,-0.931,-4.266,0.432,-1.392,14.54,4.433,20.708,10.915,-5.788,643.949,589.016,45.183,21,9,0,0,2,13.49,0.0,681.738,0,1334.939,30.361,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,2,2,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.4709124311083895,0.23759951010410288,0.43723208818126147,0.39418248622167784,False,,,,
ATP-HTVS-03F3A1A9B60E,77378,rxn512b____EMOL2735375____EMOL525138____EMOL50155899,77378-1,852,-2.87454592440143,-2.91464592440142,-37.9721997690578,-31.0163459777832,-26.8043422698975,-4.21200370788574,2.48645925521851,0.0401,-0.102662354442908,-0.311743372981861,-0.663529599687613,6.0,0,0.0099903,0,0,2,-3.739,1,0.0076941,3.177,1.5,0.207,83.25,281.959,0.7879597,3,0,17,8.044,0.000389805925551,8,394.534,5,0,28,85.034,341.219,68.358,0.056,-8.043,0.638,-5.209,14.03,3.807,20.107,10.729,-3.796,100.054,72.624,44.474,17,8,0,0,1,0.0,0.0,735.562,0,1312.01,29.134,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,2,2,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.14635639926515615,0.052663808940600125,0.20208205756276792,0.1293937538273117,False,,,,
