acquisition_id,acquisition_order,priority,wave,selection_arm,arm_rank,selection_objective,canonical_id,compound_code,title,variant,pose_index,source_file,source_file_exists,pose_count,variant_count,smiles,structure_status,feature_completeness,glide_docking_score,glide_emodel,glide_energy,glide_ligand_efficiency,docking_priority,emodel_priority,ligand_efficiency_priority,exploitation_score,quickprop_mol_mw,quickprop_psa,quickprop_qplogpo_w,quickprop_qplogs,quickprop_qplogherg,quickprop_percenthumanoralabsorption,quickprop_stars,known_internal_overlap,next_required_action,mmgbsa_label_status,experimental_activity_status
ATP-ACQ-0022,22,P0,1,exploitation,8,test whether strongest HTVS multi-score candidates retain favorable same-protocol MMGBSA,ATP-HTVS-AD7FBCC01633,85217,rxn503b____EMOL521529____EMOL44466703____EMOL313110234,85217-4,3,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,True,4,4,,pending_export_from_source_pose,1.0,-6.49299466235293,-79.6232006914258,-51.6643199920654,-0.196757414010695,0.9963257807715861,0.992651561543172,0.9638701775872627,0.9887323943661972,439.488,92.002,4.486,-4.692,-7.494,93.068,1,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown
ATP-ACQ-0023,23,P0,1,descriptor_diversity,8,expand physicochemical and docking-feature coverage before SMILES/scaffold extraction,ATP-HTVS-F8D25E752EF8,79427,rxn512b____EMOL299981165____EMOL1939773____EMOL6185419,79427-1,671,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,True,2,2,,pending_export_from_source_pose,1.0,-3.34273397361502,-39.070020243579,-33.265604019165,-0.10783012818113,0.20575627679118189,0.06613594611145132,0.24066135946111453,0.17085119412124924,415.491,95.799,2.629,-4.022,-7.6,78.73,0,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown
ATP-ACQ-0024,24,P0,1,score_calibration,8,add medium and weak docking controls to reduce Top-candidate selection bias,ATP-HTVS-7EF96EA99BCF,95361,rxn502b____EMOL5849923____EMOL30488121____EMOL49839592,95361-1,228,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,True,6,6,,pending_export_from_source_pose,1.0,-4.53121069133092,-63.7180829767676,-46.6663188934326,-0.122465153819755,0.6436007348438457,0.833435394978567,0.3968156766687079,0.6511941212492346,489.619,71.916,4.923,-5.858,-7.162,100.0,0,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown
ATP-ACQ-0025,25,P1,2,exploitation,9,test whether strongest HTVS multi-score candidates retain favorable same-protocol MMGBSA,ATP-HTVS-2AD5F3716208,34434,m_269862bba____8257516____13192834,34434-2,4,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,True,8,8,,pending_export_from_source_pose,1.0,-6.46875032106379,-73.5658722356571,-48.6031970977783,-0.239583345224585,0.9957134109001837,0.968156766687079,0.998162890385793,0.9879363135333741,378.857,51.195,4.633,-4.906,-8.11,100.0,1,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown
ATP-ACQ-0026,26,P1,2,descriptor_diversity,9,expand physicochemical and docking-feature coverage before SMILES/scaffold extraction,ATP-HTVS-48C487957C1E,66849,m_11bca____235000____2768258,66849-1,486,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,True,1,1,,pending_export_from_source_pose,1.0,-3.83958463930576,-49.1344063258033,-41.9818620681763,-0.123857569009863,0.352112676056338,0.27556644213104714,0.4127372933251684,0.3412737293325169,466.999,73.132,4.442,-5.287,-4.458,100.0,0,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown
ATP-ACQ-0027,27,P1,2,score_calibration,9,add medium and weak docking controls to reduce Top-candidate selection bias,ATP-HTVS-593FD885E4E3,89665,rxn512c____EMOL530647____EMOL523944____EMOL17023805,89665-2,303,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,True,3,3,,pending_export_from_source_pose,1.0,-4.33455882161783,-58.8941785398292,-41.1279735565186,-0.135454963175557,0.5462339252908757,0.6736068585425597,0.5566442131047152,0.5865278628291488,443.606,53.152,4.779,-3.534,-7.652,93.593,0,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown
ATP-ACQ-0028,28,P1,2,exploitation,10,test whether strongest HTVS multi-score candidates retain favorable same-protocol MMGBSA,ATP-HTVS-E71202E475AE,88195,rxn203____EMOL44691345____EMOL42077534,88195-1,6,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,True,2,2,,pending_export_from_source_pose,1.0,-6.19841322737428,-76.9737524478758,-52.3156175613403,-0.213738387150837,0.9865278628291488,0.9859154929577465,0.9853031230863442,0.9860992039191672,390.484,68.48,4.348,-5.154,-6.599,100.0,0,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown
ATP-ACQ-0029,29,P1,2,descriptor_diversity,10,expand physicochemical and docking-feature coverage before SMILES/scaffold extraction,ATP-HTVS-7ABEAEA32F74,93505,rxn403____EMOL2873214____EMOL721951____EMOL31600616,93505-3,200,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,True,8,8,,pending_export_from_source_pose,1.0,-4.63795800751344,-69.1250634916916,-48.2388801574707,-0.136410529632748,0.6907532149418248,0.9283527250459277,0.5670545009185548,0.7372933251684017,468.612,67.16,3.969,-6.883,-7.547,69.183,3,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown
ATP-ACQ-0030,30,P1,2,score_calibration,10,add medium and weak docking controls to reduce Top-candidate selection bias,ATP-HTVS-F7366BF3987A,91202,rxn503b____EMOL519605____EMOL30488121____EMOL1468452,91202-3,317,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,True,4,4,,pending_export_from_source_pose,1.0,-4.33624818808883,-63.2724281162352,-46.3955926895142,-0.135507755877776,0.546846295162278,0.8224127372933252,0.5572565829761176,0.6315982853643601,421.498,77.879,3.857,-3.657,-6.641,90.604,0,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown
ATP-ACQ-0031,31,P1,2,exploitation,11,test whether strongest HTVS multi-score candidates retain favorable same-protocol MMGBSA,ATP-HTVS-98E751432A52,90242,rxn502a____EMOL530803____EMOL44820718____EMOL2873214,90242-1,8,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,True,1,1,,pending_export_from_source_pose,1.0,-6.28735821177687,-74.9584661938304,-51.5091018676758,-0.209578607059229,0.9914268218003675,0.9767299448867116,0.9822412737293326,0.9851806491120638,402.47,69.867,4.275,-5.84,-8.303,95.563,0,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown
