acquisition_id,canonical_id,compound_code,title,variant,pose_index,source_file,priority,wave,selection_arm,exported_structure_file,canonical_smiles,structure_qc_status,mmgbsa_protocol_id,protein_structure_id,software_version,mmgbsa_dg_bind_kcal_mol,calculation_status,calculation_date,operator,notes
ATP-ACQ-0040,ATP-HTVS-8F383301D999,83458,rxn503b____EMOL299973501____EMOL44466703____EMOL313110234,83458-7,6,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,P1,2,exploitation,,,,,,,,,,,
ATP-ACQ-0041,ATP-HTVS-A6940AB4AD1D,24387,m_270004bbb____25289968____24720450,24387-1,184,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,P1,2,descriptor_diversity,,,,,,,,,,,
ATP-ACQ-0042,ATP-HTVS-A5353E166184,71683,rxn502b____EMOL485774____EMOL30488121____EMOL50155899,71683-1,485,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,P1,2,score_calibration,,,,,,,,,,,
ATP-ACQ-0043,ATP-HTVS-DDBB6FEB6103,43170,m_270004bbb____15722580____21435080,43170-2,7,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,P1,2,exploitation,,,,,,,,,,,
ATP-ACQ-0044,ATP-HTVS-CD22DC9E9474,28033,m_270004bbb____24792668____7548982,28033-3,393,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,P1,2,descriptor_diversity,,,,,,,,,,,
ATP-ACQ-0045,ATP-HTVS-F15CD1C1F5FF,30753,m_282030aaa____21893406____23157418____21967972,30753-2,603,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,P1,2,score_calibration,,,,,,,,,,,
ATP-ACQ-0046,ATP-HTVS-92BA88CED8DA,20033,WXDL_15E____QS5063____LN00174727____BT2076,20033-1,8,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,P1,2,exploitation,,,,,,,,,,,
ATP-ACQ-0047,ATP-HTVS-94941B52F5EC,56161,m_282030aaa____21917492____23157418____21967972,56161-2,655,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,P1,2,descriptor_diversity,,,,,,,,,,,
ATP-ACQ-0048,ATP-HTVS-85577F90127E,51907,m_282030aaa____21932362____23157418____21968946,51907-1,596,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,P1,2,score_calibration,,,,,,,,,,,
ATP-ACQ-0049,ATP-HTVS-3FEB13A0176D,79265,rxn403____EMOL44390368____EMOL720244____EMOL1197208,79265-6,12,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,P1,2,exploitation,,,,,,,,,,,
