acquisition_id_v2,canonical_id,compound_code,title,variant,canonical_smiles,scaffold,priority_v2,wave_v2,selection_arm_v2,source_file,structure_collection_file,structure_record_name,structure_qc_status,mmgbsa_protocol_id,protein_structure_id,software_version,mmgbsa_dg_bind_kcal_mol,calculation_status,calculation_date,operator,notes
ATP-ACQ2-0022,ATP-HTVS-AD7FBCC01633,85217,rxn503b____EMOL521529____EMOL44466703____EMOL313110234,85217-4,[NH3+][C@H](C#Cc1cc2ccccc2nc1NC(=O)Cc1ccc(O)cc1)Cc1cccc(F)c1,O=C(Cc1ccccc1)Nc1nc2ccccc2cc1C#CCCc1ccccc1,P0,1,exploitation,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0022,,,,,,,,,
ATP-ACQ2-0023,ATP-HTVS-E80A62EE0257,22690,m_270004bbb____15775648____7547684,22690-2,CN(C)Cc1ccc(CC[NH2+]Cc2cn(-c3ccccc3)nc2-c2ccccc2)cc1,c1ccc(CC[NH2+]Cc2cn(-c3ccccc3)nc2-c2ccccc2)cc1,P0,1,local_structure_bridge,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0023,,,,,,,,,
ATP-ACQ2-0024,ATP-HTVS-B9C46F2E092C,80163,rxn102c____EMOL3728737____EMOL50763906,80163-5,C[NH+](C)[C@@H](C#N)c1ccccc1Nc1[nH+]c(-c2ccccc2)cn1/N=C/c1ccc(Cl)cc1,C(=Nn1cc(-c2ccccc2)[nH+]c1Nc1ccccc1)c1ccccc1,P0,1,scaffold_score_exploration,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0024,,,,,,,,,
ATP-ACQ2-0025,ATP-HTVS-2AD5F3716208,34434,m_269862bba____8257516____13192834,34434-2,O[C@H](C[NH2+][C@H](c1ccccn1)c1cc2ccccc2o1)c1cccc(Cl)c1,c1ccc(CC[NH2+]C(c2ccccn2)c2cc3ccccc3o2)cc1,P1,2,exploitation,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0025,,,,,,,,,
ATP-ACQ2-0026,ATP-HTVS-4CFD3E435A48,60227,m_270004bbb____8292808____7547806,60227-1,CN(C)c1ccc(CC[NH2+]Cc2cn(-c3ccccc3)nc2-c2ccncc2)cc1,c1ccc(CC[NH2+]Cc2cn(-c3ccccc3)nc2-c2ccncc2)cc1,P1,2,local_structure_bridge,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0026,,,,,,,,,
ATP-ACQ2-0027,ATP-HTVS-EE8A818A3017,72097,rxn403____EMOL8314610____EMOL24201912____EMOL530791,72097-4,OCC[NH2+]c1ccc(N[C@@H](C#CCOc2ccccc2)c2coc3ccccc23)cc1,C(#CC(Nc1ccccc1)c1coc2ccccc12)COc1ccccc1,P1,2,scaffold_score_exploration,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0027,,,,,,,,,
ATP-ACQ2-0028,ATP-HTVS-E71202E475AE,88195,rxn203____EMOL44691345____EMOL42077534,88195-1,Cc1cc(OCc2ccccc2)ncc1NC(=O)Nc1ccccc1C[NH+](C)C,O=C(Nc1ccccc1)Nc1ccc(OCc2ccccc2)nc1,P1,2,exploitation,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0028,,,,,,,,,
ATP-ACQ2-0029,ATP-HTVS-3E4E6B1035DE,50531,m_271304bba____9304164____13059962,50531-1,Cc1cccc(C[C@H](C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)C(=O)[O-])c1,c1ccc(CCC[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1,P1,2,local_structure_bridge,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0029,,,,,,,,,
ATP-ACQ2-0030,ATP-HTVS-AC6C82062264,64258,m_270004bbb____24792668____7547884,64258-4,Cc1nn(Cc2ccc(F)cc2)c(Cl)c1CNCc1ccc(F)cc1CN(C)C,c1ccc(CNCc2cnn(Cc3ccccc3)c2)cc1,P1,2,scaffold_score_exploration,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0030,,,,,,,,,
ATP-ACQ2-0031,ATP-HTVS-98E751432A52,90242,rxn502a____EMOL530803____EMOL44820718____EMOL2873214,90242-1,C[NH+](C)Cc1cccc(CNc2cnc(NC(=O)C#Cc3ccccc3)c(F)c2)c1,O=C(C#Cc1ccccc1)Nc1ccc(NCc2ccccc2)cn1,P1,2,exploitation,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,results/phase8_data_acquisition/selected_structures_v0_2.sdf,ATP-ACQ2-0031,,,,,,,,,
