profile,compound_id,historical_alias,rank,central_rank,final_score,mean_rank,p_top3,p_top5
balanced,ATP-HTVS-17511F2B790B,26499,,,,,,
balanced,ATP-HTVS-1776C87C4427,90243,,,,,,
balanced,ATP-HTVS-17940C77D749,73155,,,,,,
balanced,ATP-HTVS-17A38785E483,22881,,,,,,
balanced,ATP-HTVS-17C024B1EE7E,46369,,,,,,
balanced,ATP-HTVS-17D20C07D7F4,84579,,,,,,
balanced,ATP-HTVS-17FF806DFA04,81121,,,,,,
balanced,ATP-HTVS-18044BD9974D,64643,,,,,,
balanced,ATP-HTVS-1817E5512E7A,88034,,,,,,
balanced,ATP-HTVS-18265C9EB86B,7299,,,,,,
balanced,ATP-HTVS-185EDA97C211,76994,,,,,,
balanced,ATP-HTVS-18A7589C7FB7,94049,,,,,,
balanced,ATP-HTVS-18AAC668D3EC,81058,,,,,,
balanced,ATP-HTVS-18CFABF6753A,53793,,,,,,
balanced,ATP-HTVS-18FDFF56F821,38785,,,,,,
balanced,ATP-HTVS-190A8EA9B17C,31297,,,,,,
balanced,ATP-HTVS-1928ECDAF189,20003,,,,,,
balanced,ATP-HTVS-193F5213E1F4,63266,,,,,,
balanced,ATP-HTVS-1940D4055FE9,82787,,,,,,
balanced,ATP-HTVS-1952D56C5A08,95489,,,,,,
balanced,ATP-HTVS-196468D2BF96,87299,,,,,,
balanced,ATP-HTVS-19D22C817A74,93507,,,,,,
balanced,ATP-HTVS-19D9965850C9,38370,,,,,,
balanced,ATP-HTVS-19DB56372FFA,71203,,,,,,
balanced,ATP-HTVS-19E5DD3F936E,48931,,,,,,
balanced,ATP-HTVS-19E7C62EA548,27651,,,,,,
balanced,ATP-HTVS-1A821EC4699A,87905,,,,,,
balanced,ATP-HTVS-1A8854DD1E1A,4003,,,,,,
balanced,ATP-HTVS-1AA1BAAE4A01,84386,,,,,,
balanced,ATP-HTVS-1ACF073F315C,44323,,,,,,
balanced,ATP-HTVS-1AEE198E3D8C,1538,,,,,,
balanced,ATP-HTVS-1B05407455E5,40642,,,,,,
balanced,ATP-HTVS-1B1248DF0721,71426,,,,,,
balanced,ATP-HTVS-1B366D2FDBBA,81123,,,,,,
balanced,ATP-HTVS-1B509C27CE75,60833,,,,,,
balanced,ATP-HTVS-1B60B6D0433D,66017,,,,,,
balanced,ATP-HTVS-1B84D304C2ED,89921,,,,,,
balanced,ATP-HTVS-1B9CB386F0F9,22755,,,,,,
balanced,ATP-HTVS-1C066C79A7D0,44515,,,,,,
balanced,ATP-HTVS-1C1B7F9BB8FF,77346,,,,,,
balanced,ATP-HTVS-1C463A9823EA,77731,,,,,,
balanced,ATP-HTVS-1C4EC58A3066,92899,,,,,,
balanced,ATP-HTVS-1C71F28794EF,86081,,,,,,
