raw_generation_id,parent_candidate_id,parent_structure_hash,generation_method,generator_version,reaction_or_operation,reaction_smarts,building_block_id,building_block_smiles,attachment_atom_index,raw_smiles,generation_error,qc_status,rejection_reason,generated_candidate_id,canonical_smiles,warning_count
RAW-00022,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_Cl,[*:1]Cl,6,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)c(Cl)c1,,accepted,,ATP-GEN-AC82A711C4D9,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)c(Cl)c1,0.0
RAW-00023,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_Br,[*:1]Br,6,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)c(Br)c1,,accepted,,ATP-GEN-9D0CB6C02EA7,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)c(Br)c1,0.0
RAW-00024,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_Me,[*:1]C,6,Cc1cc(C[NH+](C)C)ccc1C[NH2+]Cc1cc2ccccc2nc1SCc1ccccc1,,accepted,,ATP-GEN-8074382C17C0,Cc1cc(C[NH+](C)C)ccc1C[NH2+]Cc1cc2ccccc2nc1SCc1ccccc1,0.0
RAW-00025,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_Et,[*:1]CC,6,CCc1cc(C[NH+](C)C)ccc1C[NH2+]Cc1cc2ccccc2nc1SCc1ccccc1,,accepted,,ATP-GEN-F003CBCFEF82,CCc1cc(C[NH+](C)C)ccc1C[NH2+]Cc1cc2ccccc2nc1SCc1ccccc1,0.0
RAW-00026,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_iPr,[*:1]C(C)C,6,CC(C)c1cc(C[NH+](C)C)ccc1C[NH2+]Cc1cc2ccccc2nc1SCc1ccccc1,,accepted,,ATP-GEN-480B924FCC78,CC(C)c1cc(C[NH+](C)C)ccc1C[NH2+]Cc1cc2ccccc2nc1SCc1ccccc1,0.0
RAW-00027,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_OMe,[*:1]OC,6,COc1cc(C[NH+](C)C)ccc1C[NH2+]Cc1cc2ccccc2nc1SCc1ccccc1,,accepted,,ATP-GEN-9280A2E8D8D6,COc1cc(C[NH+](C)C)ccc1C[NH2+]Cc1cc2ccccc2nc1SCc1ccccc1,0.0
RAW-00028,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_OEt,[*:1]OCC,6,CCOc1cc(C[NH+](C)C)ccc1C[NH2+]Cc1cc2ccccc2nc1SCc1ccccc1,,accepted,,ATP-GEN-BCF4BC037D7E,CCOc1cc(C[NH+](C)C)ccc1C[NH2+]Cc1cc2ccccc2nc1SCc1ccccc1,0.0
RAW-00029,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CN,[*:1]C#N,6,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)c(C#N)c1,,accepted,,ATP-GEN-CD4F0B0626FB,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)c(C#N)c1,0.0
RAW-00030,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CF3,[*:1]C(F)(F)F,6,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)c(C(F)(F)F)c1,,accepted,,ATP-GEN-EE8FA8E8AF40,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)c(C(F)(F)F)c1,0.0
RAW-00031,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CONH2,[*:1]C(=O)N,6,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)c(C(N)=O)c1,,accepted,,ATP-GEN-A0AFDCA1E301,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)c(C(N)=O)c1,0.0
