generated_candidate_id,parent_candidate_id,parent_structure_hash,generation_method,generator_version,generator_config,random_seed,reaction_or_operation,reaction_smarts,building_block_id,building_block_smiles,attachment_atom_index,canonical_smiles,inchikey,murcko_scaffold,generation_timestamp,provenance_hash,parent_alias,parent_source,parent_htvs_identity,MW,cLogP,TPSA,HBD,HBA,rotatable_bonds,formal_charge,ring_count,fractionCSP3,pains_alerts,structural_warnings,warning_count,sa_like_proxy,scaffold_retention,parent_similarity,novelty_vs_parent,nearest_htvs1633_id,nearest_neighbor_similarity,novelty_vs_htvs1633,nearest_generated_similarity,internal_diversity_contribution,property_tractability,cheap_screening_score,screening_pool_rank
ATP-GEN-397D5A9CBB80,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_OEt,[*:1]OCC,5,CCOc1cc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)ccc1C[NH+](C)C,LGAATDUUSQAIEX-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,4c3f1f23e7e54f00d46ac7c8cb2c0cb268361601357897d2734c6326b99178eb,IN-2,confirmed_reference_pose,not_claimed,473.6860000000002,3.8339000000000016,43.17,2,3,11,2,4,0.27586206896551724,,,0,3.705,True,0.7368421052631579,0.26315789473684215,ATP-HTVS-5B9C564ED935,0.33783783783783783,0.6621621621621622,0.8947368421052632,0.10526315789473684,0.6994444444444444,0.7381107950055319,49
ATP-GEN-09D4F8E53633,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_iPr,[*:1]C(C)C,12,CC(C)c1c(C[NH2+]Cc2ccc(C[NH+](C)C)cc2)c(SCc2ccccc2)nc2ccccc12,VFGPIWDXPNVHLV-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,bd04bec4fcb1c1496e655cd8cd5436938f7dff5db29b0aba31289392515162ac,IN-2,confirmed_reference_pose,not_claimed,471.7140000000002,4.558600000000004,33.94,2,2,10,2,4,0.3,,,0,3.585,True,0.6206896551724138,0.3793103448275862,ATP-HTVS-27050A3A08BE,0.45,0.55,0.7636363636363637,0.23636363636363633,0.7127777777777777,0.738010101010101,50
ATP-GEN-F6456D9CFF1B,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CN,[*:1]C#N,5,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1C#N,YUQZQFSQDQRONT-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,df848220f96179720e3cd663f3cac505374b1f55c499e72d4836c6da638bdbfd,IN-2,confirmed_reference_pose,not_claimed,454.64300000000014,3.3068800000000023,57.73,2,3,9,2,4,0.21428571428571427,,,0,3.4299999999999997,True,0.75,0.25,ATP-HTVS-4F450E2E91A2,0.3717948717948718,0.6282051282051282,0.8928571428571429,0.1071428571428571,0.73,0.7377124542124542,51
ATP-GEN-5F57191A6982,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_NMe2,[*:1]N(C)C,15,CN(C)c1ccc2nc(SCc3ccccc3)c(C[NH2+]Cc3ccc(C[NH+](C)C)cc3)cc2c1,DVVWXSXHWYGKAV-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,40f03b2f84734cb3bf858adcc22e29ec8f87a2a1f7bf30671d9ee562c18d8aa2,IN-2,confirmed_reference_pose,not_claimed,472.7020000000003,3.5012000000000016,37.18,2,3,10,2,4,0.27586206896551724,,,0,3.585,True,0.7962962962962963,0.20370370370370372,ATP-HTVS-B8D4F4CA2980,0.3698630136986301,0.6301369863013699,0.8727272727272727,0.12727272727272732,0.7127777777777777,0.7376738619067387,52
ATP-GEN-050312E1074B,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CONH2,[*:1]C(=O)N,25,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2cccc(C(N)=O)c2)cc1,YGTWEHOGMUTBLH-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,31ab0de1d3e8192c9a16a6ebc5d85dd3d4f35e8a90ca2052f8d1c7287c7354d7,IN-2,confirmed_reference_pose,not_claimed,472.6580000000002,2.5341000000000014,77.03,3,3,10,2,4,0.21428571428571427,,,0,3.585,True,0.7413793103448276,0.2586206896551724,ATP-HTVS-A67DD6FB98A9,0.38961038961038963,0.6103896103896104,0.847457627118644,0.15254237288135597,0.7127777777777777,0.7375148335656811,53
ATP-GEN-08CA40F62221,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CH2CH2OH,[*:1]CCO,5,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1CCO,FSKWVKCKZPEIQD-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,634046a9e7144b71a88710a54b694ae156d5275addf993209f502118be6aecd3,IN-2,confirmed_reference_pose,not_claimed,473.6860000000002,2.970000000000002,54.17,3,3,11,2,4,0.27586206896551724,,,0,3.705,True,0.75,0.25,ATP-HTVS-55C340552E65,0.3424657534246575,0.6575342465753424,0.8928571428571429,0.1071428571428571,0.6994444444444444,0.737467166775386,54
ATP-GEN-3AC9FA86196F,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CONH2,[*:1]C(=O)N,12,C[NH+](C)Cc1ccc(C[NH2+]Cc2c(SCc3ccccc3)nc3ccccc3c2C(N)=O)cc1,SXPAPQXYYQWOKJ-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,c9b9e5d3fc0904eba7ce80bf2eb262f72a2fca123d82266912e76a86a2ef6501,IN-2,confirmed_reference_pose,not_claimed,472.65800000000013,2.5340999999999996,77.03,3,3,10,2,4,0.21428571428571427,,,0,3.585,True,0.5901639344262295,0.4098360655737705,ATP-HTVS-27050A3A08BE,0.42857142857142855,0.5714285714285714,0.7966101694915254,0.2033898305084746,0.7127777777777777,0.737349744417541,55
ATP-GEN-62980B244EE3,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_Et,[*:1]CC,17,CCc1cccc2cc(C[NH2+]Cc3ccc(C[NH+](C)C)cc3)c(SCc3ccccc3)nc12,JCSBBKAGTJMYCH-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,1bc7ca87dfecc6e807900b040cb2998875323d9c3e9ae3916b1fead3e0132936,IN-2,confirmed_reference_pose,not_claimed,457.6870000000001,3.997600000000003,33.94,2,2,10,2,4,0.27586206896551724,,,0,3.55,True,0.7272727272727273,0.2727272727272727,ATP-HTVS-BCEA86BEEC0A,0.391304347826087,0.6086956521739131,0.8518518518518519,0.14814814814814814,0.7166666666666667,0.7372946859903382,56
ATP-GEN-682B9656BDB3,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_F,[*:1]F,16,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccc(F)cc3nc2SCc2ccccc2)cc1,QKLZPYBUCNXOPT-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,a87ee87464af6aa2993c82c9c90c18f3bf4688046274ad04123b83fa8706aad3,IN-2,confirmed_reference_pose,not_claimed,447.6230000000001,3.5743000000000027,33.94,2,2,9,2,4,0.2222222222222222,,,0,3.3950000000000005,True,0.7924528301886793,0.2075471698113207,ATP-HTVS-3A71FF84034D,0.4090909090909091,0.5909090909090908,0.8518518518518519,0.14814814814814814,0.7338888888888888,0.7371818181818182,57
ATP-GEN-DF2CAC3A44FC,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CO2Me,[*:1]C(=O)OC,24,COC(=O)c1ccccc1CSc1nc2ccccc2cc1C[NH2+]Cc1ccc(C[NH+](C)C)cc1,FPZKYTQJIJVWAC-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,50a92ff806acba6cddd24c4a90de49e5a3ddee65960c7d1ea2613fab98103c3c,IN-2,confirmed_reference_pose,not_claimed,487.66900000000027,3.221800000000001,60.239999999999995,2,4,10,2,4,0.2413793103448276,,,0,3.62,True,0.6833333333333333,0.31666666666666665,ATP-HTVS-D35FD22B1728,0.42105263157894735,0.5789473684210527,0.8032786885245902,0.19672131147540983,0.7088888888888889,0.7370754481832997,58
ATP-GEN-206D7DCB170E,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CH2OH,[*:1]CO,15,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3cc(CO)ccc3nc2SCc2ccccc2)cc1,WMPXONIUHXHJCL-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,9daa5bd829e0ceefb12d19ccc3f627a91e7b552ec2ffddd8b42fccb5de9140e4,IN-2,confirmed_reference_pose,not_claimed,459.6590000000001,2.927500000000001,54.17,3,3,10,2,4,0.25,,,0,3.55,True,0.7924528301886793,0.2075471698113207,ATP-HTVS-BCEA86BEEC0A,0.391304347826087,0.6086956521739131,0.8545454545454545,0.1454545454545455,0.7166666666666667,0.7368906455862978,59
ATP-GEN-1976505B2C38,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CH2CH2OH,[*:1]CCO,25,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2cccc(CCO)c2)cc1,BFODNQISOZQRNZ-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,ccb271c573c94f3962401a266e83f0d2699f1094ecf21f9ca73d0e542332bfc5,IN-2,confirmed_reference_pose,not_claimed,473.6860000000002,2.9700000000000015,54.17,3,3,11,2,4,0.27586206896551724,,,0,3.705,True,0.7818181818181819,0.21818181818181814,ATP-HTVS-55C340552E65,0.3611111111111111,0.6388888888888888,0.8727272727272727,0.12727272727272732,0.6994444444444444,0.7367575757575757,60
ATP-GEN-85339A1B6E87,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_Cl,[*:1]Cl,25,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2cccc(Cl)c2)cc1,CGYNAJFXQJLGAW-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,2370343677e890fb88d7279f710dc2c9b1a2fa7ef46af9c3d5b4457ee19d21ed,IN-2,confirmed_reference_pose,not_claimed,464.0780000000001,4.088600000000003,33.94,2,2,9,2,4,0.2222222222222222,,,0,3.3950000000000005,True,0.8113207547169812,0.18867924528301883,ATP-HTVS-BF383207F30E,0.42857142857142855,0.5714285714285714,0.8333333333333334,0.16666666666666663,0.7338888888888888,0.7360634920634921,61
ATP-GEN-F003CBCFEF82,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_Et,[*:1]CC,6,CCc1cc(C[NH+](C)C)ccc1C[NH2+]Cc1cc2ccccc2nc1SCc1ccccc1,DUYFIHBTFPAQOF-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,fcf50fe7eae3d773f9c0cf6c8b5e68bc380ee7a546d30d5d18f229a538671a8a,IN-2,confirmed_reference_pose,not_claimed,457.6870000000001,3.997600000000003,33.94,2,2,10,2,4,0.27586206896551724,,,0,3.55,True,0.7924528301886793,0.2075471698113207,ATP-HTVS-BCEA86BEEC0A,0.37142857142857144,0.6285714285714286,0.8867924528301887,0.1132075471698113,0.7166666666666667,0.7360287511230907,62
ATP-GEN-A6946CE5B157,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CH2OH,[*:1]CO,14,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3c(CO)cccc3nc2SCc2ccccc2)cc1,NQJQXUTUIRLTBB-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,4b55a4c40118963ce79c9882c18cdc5ab1b201aeccd147ffa3130f1e3a70af5e,IN-2,confirmed_reference_pose,not_claimed,459.6590000000001,2.927500000000001,54.17,3,3,10,2,4,0.25,,,0,3.55,True,0.7592592592592593,0.2407407407407407,ATP-HTVS-27050A3A08BE,0.3968253968253968,0.6031746031746033,0.8545454545454545,0.1454545454545455,0.7166666666666667,0.7357864357864359,63
