generated_candidate_id,parent_candidate_id,parent_structure_hash,generation_method,generator_version,generator_config,random_seed,reaction_or_operation,reaction_smarts,building_block_id,building_block_smiles,attachment_atom_index,canonical_smiles,inchikey,murcko_scaffold,generation_timestamp,provenance_hash,parent_alias,parent_source,parent_htvs_identity,MW,cLogP,TPSA,HBD,HBA,rotatable_bonds,formal_charge,ring_count,fractionCSP3,pains_alerts,structural_warnings,warning_count,sa_like_proxy,scaffold_retention
ATP-GEN-23B869D7FD39,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CONH2,[*:1]C(=O)N,5,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1C(N)=O,LAZMRWGRJFHPFO-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,08f3f30924951b89e0b98c6fa3754d40bb8d28de907dca3b50051b3f2977741a,IN-2,confirmed_reference_pose,not_claimed,472.6580000000002,2.5341,77.03,3,3,10,2,4,0.21428571428571427,,,0,3.585,True
ATP-GEN-9AF0009EFCF1,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_SO2NH2,[*:1]S(=O)(=O)N,5,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1S(N)(=O)=O,OEIUOUADMNUFDG-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,45f3e89d440c078dc85fc6851bfc4323004124524301778b2afead1eaf445699,IN-2,confirmed_reference_pose,not_claimed,508.7130000000002,2.082600000000001,94.1,3,4,10,2,4,0.2222222222222222,,,0,3.62,True
ATP-GEN-3145EB659EF7,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_NMe2,[*:1]N(C)C,5,CN(C)c1cc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)ccc1C[NH+](C)C,BZFZAJIAZZRJJL-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,e34814e79f7e64c7e04a125584243803a52e44cb2487d54ec02578be18268e0a,IN-2,confirmed_reference_pose,not_claimed,472.7020000000002,3.5012000000000016,37.18,2,3,10,2,4,0.27586206896551724,,,0,3.585,True
ATP-GEN-C8EF0C90AF54,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_Ph,[*:1]c1ccccc1,5,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1-c1ccccc1,BABGTWHIIVJWME-UHFFFAOYSA-P,c1ccc(CSc2nc3ccccc3cc2C[NH2+]Cc2cccc(-c3ccccc3)c2)cc1,2026-08-28,431e01f2239ab9c5c24e1098cb7d8b50a3daaca3fdfa54a2f7ae592af228018a,IN-2,confirmed_reference_pose,not_claimed,505.73100000000017,5.102200000000004,33.94,2,2,10,2,5,0.18181818181818182,,,0,3.8699999999999997,False
ATP-GEN-3B4B78FD82C6,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_pyrimidinyl,[*:1]c1nccnc1,5,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1-c1cnccn1,VLSSRKUNMXJSBO-UHFFFAOYSA-P,c1ccc(CSc2nc3ccccc3cc2C[NH2+]Cc2cccc(-c3cnccn3)c2)cc1,2026-08-28,1c8152efae70aaf2f5329e7927e87ff7b2cdb906d1dbc6b99f19db6e6bbd331a,IN-2,confirmed_reference_pose,not_claimed,507.70700000000016,3.8922000000000034,59.72,2,4,10,2,5,0.1935483870967742,,,0,3.8699999999999997,False
ATP-GEN-442805B29BF9,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CH2OH,[*:1]CO,5,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1CO,SKVOWUCHLUWYLV-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,8e3b4f96ed4f288cc4e10d807ed8b21fe80daa2423487baffb75bd20a96650eb,IN-2,confirmed_reference_pose,not_claimed,459.65900000000016,2.9275000000000015,54.17,3,3,10,2,4,0.25,,,0,3.55,True
ATP-GEN-08CA40F62221,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CH2CH2OH,[*:1]CCO,5,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1CCO,FSKWVKCKZPEIQD-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,634046a9e7144b71a88710a54b694ae156d5275addf993209f502118be6aecd3,IN-2,confirmed_reference_pose,not_claimed,473.6860000000002,2.970000000000002,54.17,3,3,11,2,4,0.27586206896551724,,,0,3.705,True
ATP-GEN-71642F665463,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CO2Me,[*:1]C(=O)OC,5,COC(=O)c1cc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)ccc1C[NH+](C)C,NUIYRUBMBVJNEG-UHFFFAOYSA-P,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,2026-08-28,b5084ae2f690f1bf00da4c26c0df54960f94b7ad8a5273a0f005bd726a90b014,IN-2,confirmed_reference_pose,not_claimed,487.66900000000027,3.221800000000001,60.239999999999995,2,4,10,2,4,0.2413793103448276,,,0,3.62,True
ATP-GEN-C8CB71AB6004,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_cPr,[*:1]C1CC1,5,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1C1CC1,FADWRYMZALNJSG-UHFFFAOYSA-P,c1ccc(CSc2nc3ccccc3cc2C[NH2+]Cc2cccc(C3CC3)c2)cc1,2026-08-28,160a2f2a7f1771928110326b0623d2240cbd6b5b93253675f465ac741e3f07f7,IN-2,confirmed_reference_pose,not_claimed,469.6980000000002,4.312600000000004,33.94,2,2,10,2,5,0.3,,,0,3.765,False
ATP-GEN-37804DCBDF04,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,phase16_v1,20260828,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_morpholine,[*:1]N1CCOCC1,5,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1N1CCOCC1,ZYRQRLIVXPKFHU-UHFFFAOYSA-P,c1ccc(CSc2nc3ccccc3cc2C[NH2+]Cc2cccc(N3CCOCC3)c2)cc1,2026-08-28,6ccc00b807ff576e81fad774787e183feeaafdccc6acde28eea86a032d4ff59f,IN-2,confirmed_reference_pose,not_claimed,514.7390000000003,3.2718000000000025,46.41,2,4,10,2,5,0.3225806451612903,,,0,3.8699999999999997,False
