scaffold,scaffold_size,best_candidate,best_vina_affinity,cluster_count,isolated_scaffold
O=C(Cn1nc(-c2ccccc2)c2ccccc2c1=O)Nc1ccccc1,1,ATP-HTVS-CC86D79AEE13,-9.193,1,True
O=C(NCc1ccccc1)NC(Cc1ccccc1)c1nc2ccccc2o1,1,ATP-HTVS-E6F8A3974F14,-9.181,1,True
O=C(Nc1ccccc1)Nc1ccc(OCc2ccccc2)nc1,1,ATP-HTVS-E71202E475AE,-9.176,1,True
c1ccc(CCNC(c2ccccc2)c2cc3ccccc3o2)cc1,1,ATP-HTVS-71BF5DD28E53,-9.134,1,True
c1ccc(-c2nc(NCc3ccccc3N3CC[NH2+]CC3)nc3ccccc23)cc1,1,ATP-HTVS-5EB936FA5BDD,-9.133,1,True
c1ccc(CNc2nc(NCc3cccc[nH+]3)[nH+]c3ccccc23)cc1,1,ATP-HTVS-51861E5F66D2,-9.13,1,True
O=C(Cn1c(COc2ccccc2)[nH+]c2ccccc21)NCc1ccccc1,1,ATP-HTVS-9E45A7CB1B23,-9.107,1,True
O=C(C#Cc1ccccc1)Nc1nc2ccccc2cc1NCc1ccccc1,1,ATP-HTVS-F4EB0A3B6A53,-9.087,1,True
c1ccc(CCNc2cc(-c3ccccn3)nc3ccccc23)cc1,1,ATP-HTVS-531EE93584A6,-9.075,1,True
c1ccc(CNc2nc(=[NH+]Cc3cccc[nH+]3)c3ccccc3[nH]2)cc1,1,ATP-HTVS-7CD79F872AFC,-9.071,1,True
O=C(CNc1cc2ccccc2nc1NC(=O)c1ccccc1)c1ccccc1,1,ATP-HTVS-A7693842EDE7,-9.036,1,True
O=C(C#Cc1ccccc1)Nc1cnc2ccccc2c1C#CCCc1ccccc1,1,ATP-HTVS-75A4DAB7424E,-9.016,1,True
O=C(NCc1ccccc1)NC(Cc1ccccc1)c1nc2ccccc2s1,1,ATP-HTVS-D102EB8CAB11,-9.002,1,True
c1ccc(Cn2c(C[NH2+]Cc3ccc(N4CC[NH2+]CC4)cc3)nc3ccccc32)cc1,1,ATP-HTVS-75B300C751D2,-9.002,1,True
O=C(Cn1c(COc2ccccc2)nc2ccccc21)NNc1ccccc1,1,ATP-HTVS-72573E055255,-8.996,1,True
c1ccc(CC[NH2+]C(c2ccccc2)c2cc3ccccc3o2)cc1,1,ATP-HTVS-6B0687E57A6A,-8.996,1,True
O=C(NCCc1ccc2c(c1)OCO2)c1cn(Cc2ccccc2)c(=O)c2ccccc12,1,ATP-HTVS-B36D0C358EAD,-8.984,1,True
O=C(NCc1ccccc1)c1cc(-c2nc3ccccc3s2)nc2ccccc12,1,ATP-HTVS-3565F86F920E,-8.952,1,True
c1ccc(COc2cc(C[NH2+]Cc3ccccc3CN3CCNCC3)cc3ccccc23)cc1,1,ATP-HTVS-9B930A3F277B,-8.943,1,True
c1ccc(CNCc2cc(OCc3ccccc3)cc(OCc3ccccc3)c2)cc1,1,ATP-HTVS-9DBDBA397665,-8.928,1,True
O=C(CCc1ccccc1)Nc1c(NCc2ccccc2)cnc2ccccc12,1,ATP-HTVS-FDDF48EBDCF8,-8.917,1,True
O=C(NNc1ccccc1)c1oc2ccccc2c1COc1ccccc1,1,ATP-HTVS-BFD5BCAF9717,-8.907,1,True
c1ccc(CCNc2nc(-c3ccccc3)cc(-c3ccccc3)n2)cc1,1,ATP-HTVS-D51006C467E8,-8.906,1,True
O=C(c1c[nH]c2ccccc12)C(NCCc1ccccc1)c1ccccc1,1,ATP-HTVS-AD556EC8B5E3,-8.901,1,True
O=C(NCc1ccccc1N1CCNCC1)c1oc2ccccc2c1COc1ccccc1,1,ATP-HTVS-EF5E324DB424,-8.9,1,True
O=C(Cn1c(Cc2ccccc2)nc2ccccc21)Nc1ccccc1,1,ATP-HTVS-FE9A1A55DD78,-8.896,1,True
