canonical_id,compound_code,canonical_smiles,scaffold,vina_affinity,global_rank,percentile,scaffold_relative_rank,scaffold_size,chemical_space_cluster,vina_pose_count,pose_sha256,signature,cached
ATP-HTVS-A6D74CA540BA,89537,C[C@H](NCC#Cc1c(NC(=O)c2cccc(C#N)c2)cnc2ccccc12)c1ccccc1F,O=C(Nc1cnc2ccccc2c1C#CCNCc1ccccc1)c1ccccc1,-9.762,23,98.6478180700676,3,4,288,9,a0bee733c31dbe90fec160288b91341c73990e06e37bda1ebb5ea2e1df028f28,acc9bddbb7625403499c7e5ad4bf2023a5a80ce1d3f3499f1bea003cfe74f0a7,True
ATP-HTVS-2F9E11536268,92386,N#Cc1cccc(CC(=O)Nc2nc3ccccc3cc2C#C[C@H]([NH3+])Cc2cccc(F)c2)c1,O=C(Cc1ccccc1)Nc1nc2ccccc2cc1C#CCCc1ccccc1,-9.735,24,98.58635525507069,3,5,27,9,57f88464cc34c93e1e4b85f346cdb21699ac817b003857b9699a06808b323310,a8e860f3ca0af32e6617cb14447fd55f655041a5150085f8fb635af075277c00,True
ATP-HTVS-9548848ABB82,37537,CC(C)Nc1cccc(CNC(=O)NC[C@H]2c3ccccc3C(=O)N2Cc2ccccc2)c1,O=C(NCc1ccccc1)NCC1c2ccccc2C(=O)N1Cc1ccccc1,-9.712,25,98.52489244007376,1,4,296,9,b8987c1e82d6da374944893263e731e16959bfd5c458533117a65fa85b9d8a66,d66456e4edbb85d30c949b15458c4639cabdbf9045da5f55440910f77ecf4b25,True
ATP-HTVS-B847417F307C,85761,O=C(Cc1ccc(F)cc1)Nc1cnc2ccccc2c1C#CC(=O)c1ccccc1,O=C(Cc1ccccc1)Nc1cnc2ccccc2c1C#CC(=O)c1ccccc1,-9.706,26,98.46342962507683,1,1,537,9,6c6a36c27552f3c3306d44b652dc22d7fd6767c09b5db34ac5c7f7ebecf9c8b4,9079f57f2e37477b4bd532cbd732e9e7d7b6811085e2a5e16c994f43dfc360dc,True
ATP-HTVS-9505CBC4E7EE,64641,CN(C)Cc1ccc(CCNc2nc(NCc3cccc4c3OCO4)[nH+]c3ccccc23)cc1,c1ccc(CCNc2nc(NCc3cccc4c3OCO4)[nH+]c3ccccc23)cc1,-9.7,27,98.4019668100799,1,1,133,9,a3bbe8c7d7b55df804328694cc3ab0727e7adab7bed8a0bbc738aa84471996ec,a37970ed188345c03c83498e50b495563c04ead7b5293124bedd450af1f76b8e,True
ATP-HTVS-22FAF80E23F8,94401,CC(=O)Nc1ccc(CCNc2[nH+]nc(-c3ccccc3)c3ccccc23)cc1,c1ccc(CCNc2[nH+]nc(-c3ccccc3)c3ccccc23)cc1,-9.631,28,98.34050399508297,1,1,855,9,56f68b8b1fa119dc21a03a24b3e9a7322ec18c2c167f50708fb16910aa869ced,ae55636da916a7e820964eedb2af34e5563f66ca73613d8d229a7a515d47c8df,True
ATP-HTVS-1377A1139B97,96002,CC(=O)c1ccccc1C(=O)Nc1nc2ccccc2cc1C#CC[NH2+]Cc1ccccc1,O=C(Nc1nc2ccccc2cc1C#CC[NH2+]Cc1ccccc1)c1ccccc1,-9.625,29,98.27904118008604,4,6,157,8,143e62c301fafbf79124ff68502c125cbf3e4fd20f6b2e8a929bd7b040e0f7d7,030e78cd1a3b091ad9368b278123b1c792f6998f8992ab4dfbc47572dc7894db,True
ATP-HTVS-BE963CFE3042,38017,CC(C)Nc1ccc(CNc2nc(N[C@H](C)c3ccccc3N)c3ccccc3n2)cc1,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3n2)cc1,-9.621,30,98.21757836508912,1,12,524,9,d3dcdf3476c7ba450140cee862861985f48fcde91a96a6a77f322e8d969df15a,231538479250cca7042cc7913c462329b619653420c2ee304d8c5bc5cc3dd8af,True
ATP-HTVS-8F383301D999,83458,[NH3+][C@H](C#Cc1cc2ccccc2nc1NC(=O)[C@H](O)c1cccc(Cl)c1)Cc1cccc(F)c1,O=C(Cc1ccccc1)Nc1nc2ccccc2cc1C#CCCc1ccccc1,-9.621,30,98.21757836508912,4,5,27,9,c4156167065fb55ba9f9a62abf2ec73d5a778ebd5124519005b6db4b8c3ccd7a,ed828f3c69f01ff1aabe0cdfcb666ff8e6aa5d240536ca31e2d6265ef864d359,True
ATP-HTVS-9AD82B0B5D2D,80610,C[C@H](NCC#Cc1cnc(NC(=O)[C@H](O)c2cccc(Cl)c2)c2ccccc12)c1cccc(F)c1,O=C(Cc1ccccc1)Nc1ncc(C#CCNCc2ccccc2)c2ccccc12,-9.608,32,98.09465273509527,1,1,616,9,96278acd7aa61ed2cad2620e5998078fe988103a1212a075d42b94620da5d6be,f61341e91aa60406637363a93012883f26443556223fc0a1f1e448dd0c7f2a5c,True
ATP-HTVS-BA05F8BAE026,80994,CN(C)[C@@H](C[NH3+])c1ccc(Cl)cc1Nc1nc(-c2ccccc2)cc(-c2ccccc2)n1,c1ccc(Nc2nc(-c3ccccc3)cc(-c3ccccc3)n2)cc1,-9.597,33,98.03318992009834,1,2,274,9,250ee5a19d38fefce5685ef96549fdb811db9f8c6efaf1ab21d7199fa48227e6,3906e3e3d9996149cdacfe551264c7a1600da805cdd5d7c623b265e77a25b67f,True
ATP-HTVS-CB3D9B3FDDC1,36449,C[C@@H](NC(=O)NC[C@@H]1c2ccccc2C(=O)N1Cc1ccccc1)c1ccc(C[NH+](C)C)cc1,O=C(NCc1ccccc1)NCC1c2ccccc2C(=O)N1Cc1ccccc1,-9.572,34,97.97172710510141,2,4,496,9,a180027504c21a53060fff1fae1db3d593a4f2cf35d6436c91f059cbc23c7918,f338af6983254f8a21c69cce632ef3af2495062eb8a1a719d495d807107cba4b,True
ATP-HTVS-B3F47181DC5D,83746,C[C@@H]([NH2+]CC#Cc1cnc(NC(=O)c2cccc(O)c2)c2ccccc12)c1ccc(F)cc1,O=C(Nc1ncc(C#CC[NH2+]Cc2ccccc2)c2ccccc12)c1ccccc1,-9.567,35,97.9102642901045,2,4,48,9,3a724c9818a8132d4c346546284de024bf9ad151cf2ac6d6180455157561b59e,3af8c2551c3c3db383f093b6e46b263ef30fc9b7aea362d2ba1072fe3f32de28,True
ATP-HTVS-A257C47BE0F3,3587,C[NH+](C)[C@@H](CNC(=O)c1cc(CC(=O)Nc2ccccc2)nc2ccccc12)c1ccc(O)cc1,O=C(Cc1cc(C(=O)NCCc2ccccc2)c2ccccc2n1)Nc1ccccc1,-9.557,36,97.84880147510756,1,1,594,9,998b43a7c885e35ec19837deb42ca7bed7ef8213f7a43f538baf7ca64f479485,ed7f734b2ae596d50db07ee4729f0744e6e1afff4f255b6a7a142b25437c91c5,True
ATP-HTVS-2C72C850E8DC,37538,CC(C)Nc1ccc(CNC(=O)NC[C@H]2c3ccccc3C(=O)N2Cc2ccccc2)cc1,O=C(NCc1ccccc1)NCC1c2ccccc2C(=O)N1Cc1ccccc1,-9.509,37,97.78733866011063,3,4,296,9,485b17f76123455824b927deaaf4d862bb9793d2623bb30c91653451121184bd,1c54f8638ce74c6eeac0bb7d18dbf34671900a19be416031dada88a5fb604817,True
ATP-HTVS-B4F34B52DEEF,77313,C[C@@H]([NH2+]CC#Cc1c(NC(=O)[C@@H](O)c2ccccc2)cnc2ccccc12)c1ccccc1,O=C(Cc1ccccc1)Nc1cnc2ccccc2c1C#CC[NH2+]Cc1ccccc1,-9.508,38,97.7258758451137,1,4,69,9,7c4e4b99e5ff73bee1c2331026b9bb863ee4d90452fc96c50be268ea6bca2eca,19cbea4d31f14107914d92162b7f655f27b46eb7ad4462e745c59e510b5269a9,True
ATP-HTVS-B31ECD8B9A27,61603,C[NH2+]Cc1ccccc1CNC(=O)c1cc(-c2ccccn2)nc2ccccc12,O=C(NCc1ccccc1)c1cc(-c2ccccn2)nc2ccccc12,-9.507,39,97.66441303011678,1,1,158,8,3067912fe94ef9cc080842d779b40ac60cc2d6633b4c5782631e2897d43ac9b7,a684269188ced4815a5bd1c2b3f1c977e7b6355a916a7865d91db246ab4268f4,True
ATP-HTVS-8E5D0C8C0586,48226,O=C1c2ccccc2[C@@H](CNCc2cc(C3CC3)ccc2F)N1Cc1ccccc1,O=C1c2ccccc2C(CNCc2cccc(C3CC3)c2)N1Cc1ccccc1,-9.493,40,97.60295021511986,1,1,641,9,9a461ce263f231d9a1a221c06a6a0709af425ffe48261421fe2e088f185610d4,ff2a47c23bdbbddbc189552944749f7458c4f75da537873ea9ee4489b2811497,True
ATP-HTVS-CF9A421CD50D,33410,C[C@H](Nc1nc(NCc2ccc(F)c(CN(C)C)c2)c2ccccc2[nH+]1)c1ccccc1F,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1,-9.475,41,97.54148740012293,2,83,51,9,6ca5c1376e6c5af59f86c7eeb7f8b6b96c4b4c3b63dee895fbbb556b4a9d38f5,1257c5f374f38807894c82464caeb4577c8502704343fc2f799b2fe4f59dfce1,True
ATP-HTVS-3B3954EE8C13,84897,[NH3+][C@@H](C#Cc1cnc2ccccc2c1NC(=O)C#Cc1cccc(F)c1)Cc1cccc(F)c1,O=C(C#Cc1ccccc1)Nc1c(C#CCCc2ccccc2)cnc2ccccc12,-9.454,42,97.480024585126,1,2,44,9,bd320da049628a05eb40275dffa7bd5116bdcd3673651d97c8e4d26969407b4a,d874471d8dbe096f443d376d2819b1b608cef83a145861c78d3bb7c0ed722175,True
ATP-HTVS-AD26772F5837,35617,C[NH+](C)Cc1ccccc1CNc1nc(N[C@@H](CC(N)=O)c2ccccc2)c2ccccc2[nH+]1,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1,-9.426,43,97.41856177012907,3,83,205,9,f6615fcee83476884c49964255599438e0feb75c606071db55367ef5ea3485c6,0b2a1de07c0e69bbd830b91fcb7a311e44bb61b50a74c64a9375327d9927219d,True
ATP-HTVS-9C9650448F2C,83841,CN(c1cnc(NC(=O)c2ccc(OCC[NH+](C)C)cc2)c2ccccc12)[C@H](C#N)c1ccccc1,O=C(Nc1ncc(NCc2ccccc2)c2ccccc12)c1ccccc1,-9.426,43,97.41856177012907,1,33,183,9,c04737be8cd515b4953c4aebc7b33dea781b516d80a7136e82639ba02bb1cd52,c4765485f37d796d0f119517a06a8e5fab0fb3d626f8cd35a07727ef1a0722eb,True
