canonical_id,canonical_smiles,glide_docking_score,structure_valid,ligand_prepared,vina_available,pose_qc_pass,failure_category,failure_reason,terminal_status
ATP-HTVS-093491EAEBEC,C[NH+](C)Cc1cc(F)ccc1CNc1nc(NCc2ccc(N)cc2Cl)c2ccccc2[nH+]1,-3.78030398240935,True,True,True,True,,,success
ATP-HTVS-09A5DA8CBD66,C[NH+](C)Cc1ccc(CCNc2nc(NC[C@H](c3ccccc3)[NH+](C)C)c3ccccc3[nH+]2)cc1,-4.32064354787896,True,True,True,True,,,success
ATP-HTVS-09A833AE3D1D,C[NH+](C)Cc1ccccc1C(=O)Nc1nc2ccccc2cc1-c1ccnc(Cl)c1,-3.68111560471429,True,True,True,True,,,success
ATP-HTVS-09F9B4EC4E97,CCCc1ccc(C[NH2+]Cc2ncc(-c3ccccc3C)cn2)cc1,-4.0071540234108,True,True,True,True,,,success
ATP-HTVS-0A1AFDA96BE3,CN(Cc1ccccc1)[C@H]1C(=O)N(Cc2ccccc2)c2ccccc21,-4.20118108704855,True,True,True,True,,,success
ATP-HTVS-0A1D74055304,OCc1ccc(CC[NH2+]Cc2c(OCc3ccccc3)ccc3ccccc23)cc1,-5.16115024103222,True,True,True,True,,,success
ATP-HTVS-0A30D9D79A37,CN(Cc1ccccc1C[NH+]1CCCC1)c1c(NC(=O)c2ccccc2)cnc2ccccc12,-1.8144976552467,True,True,True,True,,,success
ATP-HTVS-0A53D5277C22,COc1ccc([C@@H](CN(C)C)NCc2nc3ccccc3c(-c3ccccc3)c2Cl)cc1,-2.02757734796739,True,True,True,True,,,success
ATP-HTVS-0A81E0DFACE9,COc1ccccc1-c1cnc(C[NH2+]Cc2ccc(C[NH+](C)C)cc2)nc1,-4.7467795765273,True,True,True,True,,,success
ATP-HTVS-0A8B3D0EFFB7,Cc1ccc([C@@H](O)CNc2cc(-c3ccncc3)[nH+]c3c(F)cccc23)cc1,-5.05094522348199,True,True,True,True,,,success
ATP-HTVS-0A8D2667A5C6,C[NH+](C)Cc1ccc(CNc2cnc3ccccc3c2NC(=O)Cc2cccc(Cl)c2)cc1,-3.43908277029645,True,True,True,True,,,success
ATP-HTVS-0AAFA8CB92ED,C[NH+](C)Cc1ccccc1CNc1nc(NCCc2ccc(N)cc2)c2ccccc2[nH+]1,-4.84593814132737,True,True,True,True,,,success
ATP-HTVS-0AE85D2EF5B8,C[NH+](C)Cc1ccccc1C(=O)Nc1ncc(C#Cc2ccccc2C[NH3+])nc1-c1ccccc1,-5.19876401981564,True,True,True,True,,,success
ATP-HTVS-0B0619B736F3,N#CCN(c1ccccc1)c1cc2ccccc2nc1NC(=O)c1cc(F)cc(F)c1,-3.55560968432524,True,True,True,True,,,success
ATP-HTVS-0B15CB8240E3,CC(=O)c1ccccc1C(=O)Nc1nc2ccccc2cc1C#CCN[C@@H](C)c1ccccc1F,-3.92893107291661,True,True,True,True,,,success
ATP-HTVS-0B527D484045,C[C@H](Nc1cc(Cl)ccc1[C@H](C[NH3+])N(C)C)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1,-4.70705017394486,True,True,True,True,,,success
ATP-HTVS-0B76E6A2B6F2,C[C@@H](C#N)N(C(=O)c1[nH]c2ccccc2c1Nc1ccc(NCCO)cc1)c1ccccc1,-3.61221120442026,True,True,True,True,,,success
ATP-HTVS-0BEF59EEEAC9,O=C1CN(Cc2cccc(C(=O)NCCO)c2)[C@H](c2ccccc2)c2ccccc2N1,-4.29629478093592,True,True,True,True,,,success
ATP-HTVS-0C1598B702AE,COCCNc1ccccc1C[NH2+]Cc1c(-c2ccccc2)cc2ccccn12,-3.15858840715297,True,True,True,True,,,success
ATP-HTVS-0C253F9D7643,O=C([O-])C[N@H+](Cc1ccc(Cl)cc1)Cc1cc(OCc2ccccc2)c2ccccc2c1,-3.61118922669315,True,True,True,True,,,success
ATP-HTVS-0C40F7CB6A92,Cc1ccc([C@@](C)(CO)C[NH2+]Cc2cn(-c3ccccc3)nc2-c2ccncc2)cc1,-5.00496722494702,True,True,True,True,,,success
ATP-HTVS-0C765FB89CD3,CC[N@@H+](C)Cc1cccc(CNc2nc3ccccc3nc2N(C)CCc2cccc([N+](=O)[O-])c2)c1,-4.11182705426906,True,True,True,True,,,success
ATP-HTVS-0C924C2A1F00,O=C(Nc1c[nH+]c2ccccc2c1NCc1ccc(NCCO)cc1)c1cccc(CS)c1,-3.96699931810985,True,True,True,True,,,success
ATP-HTVS-0CA591B42E29,C[NH+](C)Cc1cccc(CN[C@H](C#Cc2ccc(C(=O)[O-])cc2)c2coc3ccccc23)c1,-5.49807264992147,True,True,True,True,,,success
ATP-HTVS-0CB0406266F3,CN(Cc1ccc(C[NH+](C)C)cc1)C(=O)Cn1c(COc2ccc(Cl)cc2)nc2ccccc21,-3.43878014204707,True,True,True,True,,,success
ATP-HTVS-0CBFB91815ED,CN(Cc1sc2ccccc2c1NCc1cccc(C[NH+](C)C)c1)C(=O)[C@@H](O)c1ccccc1,-4.4755885529581,True,True,True,True,,,success
ATP-HTVS-0CC0B448CED2,c1ccc(-n2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3cccnc3)n2)cc1,-4.12199800493643,True,True,True,True,,,success
ATP-HTVS-0CD00DCFE488,CC(C)N(C)Cc1cccc(CNC(=O)Cn2c(COc3ccc(Cl)cc3)nc3ccccc32)c1,-0.727471403035266,True,True,True,True,,,success
ATP-HTVS-0CE67B896AED,CNc1cccc(CNC(=O)c2cnc3ccc(F)cc3c2N(C)c2ccccc2F)c1,-4.50629604942923,True,True,True,True,,,success
ATP-HTVS-0D57BDDB1211,CN(C)Cc1cccc(CNc2c(NC(=O)[C@@H](F)c3ccc(Cl)cc3)c[nH+]c3ccccc23)c1,-2.14571084498983,True,True,True,True,,,success
ATP-HTVS-0D83F5E9F976,CC[N@@H+](C)Cc1cccc(CNc2nc(NCc3ccccc3C#N)c3ccccc3[nH+]2)c1,-3.48376880382318,True,True,True,True,,,success
ATP-HTVS-0D8C52C362EE,C#CCN(Cc1ccccc1)C(=O)c1cc(NCc2cccc(C[NH+](C)C)c2)c(Cl)s1,-2.43691677875083,True,True,True,True,,,success
