canonical_id,vina_affinity,glide_docking_score,vina_rank,glide_rank,rank_delta,abs_rank_delta,disagreement_class,scaffold
ATP-HTVS-675C8FFFA49B,-7.821,-4.96576841477222,988,308,680,680,glide_favored,O=C(Nc1ncc(Nc2ccccc2)c2ccccc12)c1ccccc1
ATP-HTVS-14BA2D75CE49,-8.346,-3.54257727891752,551,1230,-679,679,vina_favored,c1ccc(CCNc2cc(COc3ccccc3)[nH+]c3ccccc23)cc1
ATP-HTVS-F056EC0EC7E7,-6.317,-4.17598752066853,1528,850,678,678,glide_favored,O=c1c2ccccc2cc(CNc2ccccc2)n1-c1ccccc1
ATP-HTVS-4AC96F3AF657,-8.014,-5.37701549450929,829,151,678,678,glide_favored,O=C1c2ccccc2C(C[NH2+]Cc2ccccc2)N1Cc1ccccc1
ATP-HTVS-C9CB4EF32822,-7.96,-5.15927092847907,885,213,672,672,glide_favored,c1ccc(CNc2nc(-c3ccccc3)cs2)cc1
ATP-HTVS-2A420AE0278C,-8.408,-3.66995424935913,504,1176,-672,672,vina_favored,O=C(NCc1cn(-c2ccccc2)nc1-c1ccncc1)Nc1ccccc1
ATP-HTVS-305D97AD9924,-8.524,-3.83900291155566,389,1060,-671,671,vina_favored,O=C(Nc1nc2ccccc2cc1NCc1ccccc1)c1ccccc1
ATP-HTVS-4862FE6420AB,-7.891,-5.04320666313949,937,267,670,670,glide_favored,O=C(Cc1ccccc1)Nc1c[nH+]c2ccccc2c1NCc1ccccc1
ATP-HTVS-BA0E3BFA8388,-7.925,-5.08693232449439,914,246,668,668,glide_favored,O=C(Nc1c[nH+]c2ccccc2c1NCc1ccccc1)c1ccccc1
ATP-HTVS-B48F3FD049EC,-7.975,-1.74699328530656,869,1537,-668,668,vina_favored,c1ccc(C[NH2+]C(c2ccccn2)c2cc3ccccc3o2)cc1
ATP-HTVS-66BD7620CABA,-8.342,-3.56273417083815,553,1220,-667,667,vina_favored,O=C(Nc1ncc(Nc2ccccc2)c2ccccc12)c1ccccc1N1CC[NH2+]CC1
ATP-HTVS-2B54247B4108,-8.45,-3.75512751001344,454,1120,-666,666,vina_favored,O=C(Nc1ncc(NCc2ccccc2)c2ccccc12)c1ccccc1
ATP-HTVS-915EA674EB52,-8.177,-3.12601315930246,693,1358,-665,665,vina_favored,O=C(Nc1c(NCc2ccccc2)c[nH+]c2ccccc12)c1ccccc1
ATP-HTVS-FAB6E8368155,-7.332,-4.52193757739847,1252,588,664,664,glide_favored,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1
