canonical_id,protocol_uncertainty,model_uncertainty,model_disagreement_if_available,model_uncertainty_status,objective_uncertainty,evidence_uncertainty,chemical_space_uncertainty,combined_available_uncertainty,uncertainty_available_components,uncertainty_dominant_source,distance_to_decision_boundary
ATP-HTVS-086F5E4227DC,0.6004901960784313,,,not_available_no_comparable_full_library_model_outputs,0.48412406421305343,0.1428571428571429,0.8198835822837112,0.5118387463580847,4,chemical_space,729.0
ATP-HTVS-08A6E1F87809,0.22426470588235295,,,not_available_no_comparable_full_library_model_outputs,0.0816549957515523,0.1428571428571429,0.19430742936424072,0.16077106846382222,4,protocol,565.0
ATP-HTVS-093491EAEBEC,0.5974264705882353,,,not_available_no_comparable_full_library_model_outputs,0.30515183686271824,0.1428571428571429,0.1347011991739166,0.2950341623705033,4,protocol,511.5
ATP-HTVS-09A5DA8CBD66,0.1488970588235294,,,not_available_no_comparable_full_library_model_outputs,0.3006658951208232,0.1428571428571429,0.8198835822837112,0.3530759197713017,4,chemical_space,772.5
ATP-HTVS-09A833AE3D1D,0.14276960784313725,,,not_available_no_comparable_full_library_model_outputs,0.22705554803603958,0.1428571428571429,0.8198835822837112,0.33314147025500773,4,chemical_space,1184.5
ATP-HTVS-09F9B4EC4E97,0.05698529411764706,,,not_available_no_comparable_full_library_model_outputs,0.35924767977173944,0.1428571428571429,0.6959095681747428,0.3137499212303181,4,chemical_space,799.5
ATP-HTVS-0A1AFDA96BE3,0.45465686274509803,,,not_available_no_comparable_full_library_model_outputs,0.4783478527549867,0.1428571428571429,1.0,0.5189654645893069,4,chemical_space,1106.0
ATP-HTVS-0A1D74055304,0.5974264705882353,,,not_available_no_comparable_full_library_model_outputs,0.3676818623681334,0.1428571428571429,0.9217811058289642,0.507436645410619,4,chemical_space,598.5
ATP-HTVS-0A30D9D79A37,0.044730392156862746,,,not_available_no_comparable_full_library_model_outputs,0.5323375178171759,0.1428571428571429,1.0,0.4299812632077954,4,chemical_space,1388.5
ATP-HTVS-0A53D5277C22,0.5980392156862745,,,not_available_no_comparable_full_library_model_outputs,0.39778641824968153,0.1428571428571429,0.8760259858910316,0.5036771906710327,4,chemical_space,915.0
ATP-HTVS-0A81E0DFACE9,0.4050245098039216,,,not_available_no_comparable_full_library_model_outputs,0.35763555322938956,0.1428571428571429,0.7978070917199959,0.4258310744026125,4,chemical_space,660.5
ATP-HTVS-0A8B3D0EFFB7,0.5024509803921569,,,not_available_no_comparable_full_library_model_outputs,0.4229991810415156,0.1428571428571429,1.0,0.5170768260727039,4,chemical_space,574.0
ATP-HTVS-0A8D2667A5C6,0.3786764705882353,,,not_available_no_comparable_full_library_model_outputs,0.30794764124722523,0.1428571428571429,0.29916438550035696,0.28216141004824014,4,protocol,864.0
