canonical_id,recommended_next_evidence,voi_proxy,voi_potential_decision_change,voi_uncertainty,voi_evidence_importance,acquisition_cost,protocol_uncertainty,rank_boundary_proximity,scaffold_novelty,evidence_uncertainty
ATP-HTVS-64F4A1A461ED,Prime MM/GBSA under one reviewed frozen protocol,0.0008754608905339921,0.05698529411764706,0.31357168737413577,0.4899334733893558,10.0,0.11397058823529412,0.0,0.8435622116579284,0.1428571428571429
ATP-HTVS-48C487957C1E,Prime MM/GBSA under one reviewed frozen protocol,0.0008750629279282235,0.11488970588235294,0.40120549259632154,0.18984156162464988,10.0,0.22977941176470587,0.0,1.0,0.1428571428571429
ATP-HTVS-337D10985B1B,Prime MM/GBSA under one reviewed frozen protocol,0.0008697506611316901,0.15441176470588236,0.33058121198647294,0.17038690476190477,10.0,0.3088235294117647,0.0,0.4803249158044297,0.1428571428571429
ATP-HTVS-F92825C2DD85,Prime MM/GBSA under one reviewed frozen protocol,0.0008654626792192933,0.06433823529411764,0.35837905331731457,0.3753501400560224,10.0,0.12867647058823528,0.0,0.8435622116579284,0.1428571428571429
ATP-HTVS-6480B695D089,Prime MM/GBSA under one reviewed frozen protocol,0.0008631124832417306,0.11090686274509803,0.4218514911349065,0.18448004201680676,10.0,0.22181372549019607,0.0,0.6871244233158569,0.1428571428571429
ATP-HTVS-6F734E803CC4,Prime MM/GBSA under one reviewed frozen protocol,0.0008628924459277848,0.11458333333333333,0.3325500217938593,0.22645308123249303,10.0,0.22916666666666666,0.0,0.45881416865974844,0.1428571428571429
ATP-HTVS-D78134F4C173,Prime MM/GBSA under one reviewed frozen protocol,0.0008601360304268046,0.09681372549019608,0.2839839882081625,0.3128501400560224,10.0,0.19362745098039216,0.0,0.37424884663171376,0.1428571428571429
ATP-HTVS-A8FD4BE75532,Prime MM/GBSA under one reviewed frozen protocol,0.0008597591710997167,0.12346813725490197,0.3363991435140272,0.20699842436974794,10.0,0.24693627450980393,0.0,0.26467360625877734,0.1428571428571429
ATP-HTVS-CC453EE4B1F8,Prime MM/GBSA under one reviewed frozen protocol,0.0008567316030177274,0.13112745098039216,0.21472845293294487,0.3042717086834734,10.0,0.2622549019607843,0.0,0.37424884663171376,0.1428571428571429
ATP-HTVS-4C091C5F609D,Prime MM/GBSA under one reviewed frozen protocol,0.0008541006250995899,0.13051470588235295,0.36628976229402294,0.1786589635854342,10.0,0.2610294117647059,0.0,0.34766615522205513,0.1428571428571429
ATP-HTVS-AEE242E516D8,Prime MM/GBSA under one reviewed frozen protocol,0.000853782288395691,0.08639705882352941,0.23320147592470397,0.42375700280112044,10.0,0.17279411764705882,0.0,0.45881416865974844,0.1428571428571429
ATP-HTVS-F282BC43258B,Prime MM/GBSA under one reviewed frozen protocol,0.0008512516714942244,0.08333333333333333,0.22107869497357246,0.46205357142857145,10.0,0.16666666666666666,0.0,0.45881416865974844,0.1428571428571429
ATP-HTVS-F666156B37DE,Prime MM/GBSA under one reviewed frozen protocol,0.0008481091383831845,0.12959558823529413,0.34980369620654145,0.18708420868347342,10.0,0.25919117647058826,0.0,0.312875576684143,0.1428571428571429
ATP-HTVS-0015C54A99C8,Prime MM/GBSA under one reviewed frozen protocol,0.0008466545357551231,0.08915441176470588,0.3246927736661176,0.2924763655462185,10.0,0.17830882352941177,0.0,0.2479480282179366,0.1428571428571429
ATP-HTVS-2F9E11536268,Prime MM/GBSA under one reviewed frozen protocol,0.0008415110172446854,0.05974264705882353,0.26352326235153956,0.5345106792717087,10.0,0.11948529411764706,0.0,0.6367627041465014,0.1428571428571429
ATP-HTVS-C302107B3554,Prime MM/GBSA under one reviewed frozen protocol,0.0008396083449253659,0.11672794117647059,0.16307872377860538,0.4410670518207283,10.0,0.23345588235294118,0.0,0.12630081841377705,0.1428571428571429
ATP-HTVS-DF2EF65723F2,Prime MM/GBSA under one reviewed frozen protocol,0.0008388606749656829,0.10998774509803921,0.3383986833893567,0.22538077731092437,10.0,0.21997549019607843,0.0,1.0,0.1428571428571429
ATP-HTVS-52D7AA6D1B75,Prime MM/GBSA under one reviewed frozen protocol,0.0008384954515246355,0.09589460784313726,0.2970945710441951,0.29431460084033617,10.0,0.19178921568627452,0.0,0.5608236049020798,0.1428571428571429
ATP-HTVS-6F1494FEFC60,Prime MM/GBSA under one reviewed frozen protocol,0.0008372736613641438,0.04595588235294118,0.3331221372111808,0.5469187675070029,10.0,0.09191176470588236,0.0,0.8435622116579284,0.1428571428571429
ATP-HTVS-F9EAD73A28F1,Prime MM/GBSA under one reviewed frozen protocol,0.000835914693614477,0.10753676470588236,0.40814473179279925,0.1904543067226891,10.0,0.21507352941176472,0.0,0.6871244233158569,0.1428571428571429
ATP-HTVS-9480C2297FB5,Prime MM/GBSA under one reviewed frozen protocol,0.0008350498018819691,0.14368872549019607,0.19766519247700592,0.29400822829131656,10.0,0.28737745098039214,0.0,0.26467360625877734,0.1428571428571429
ATP-HTVS-9360F17A3EC6,Prime MM/GBSA under one reviewed frozen protocol,0.0008338925568530262,0.06832107843137254,0.27711148370013644,0.4404543067226891,10.0,0.13664215686274508,0.0,0.5608236049020798,0.1428571428571429
ATP-HTVS-F9B5ED51D5DA,Prime MM/GBSA under one reviewed frozen protocol,0.0008330366905505562,0.06495098039215687,0.2732305827761001,0.469406512605042,10.0,0.12990196078431374,0.0,0.37424884663171376,0.1428571428571429
ATP-HTVS-52816E9DAB39,Prime MM/GBSA under one reviewed frozen protocol,0.0008307809569070093,0.10232843137254902,0.3546800145540733,0.22890406162464988,10.0,0.20465686274509803,0.0,0.4803249158044297,0.1428571428571429
ATP-HTVS-B46E603BFCD4,Prime MM/GBSA under one reviewed frozen protocol,0.0008305422753932121,0.07352941176470588,0.3247882289847771,0.34777661064425774,10.0,0.14705882352941177,0.0,0.6367627041465014,0.1428571428571429
