canonical_id,compound_code,vina_rank,glide_rank,rank_consensus,normalized_rank_variance,rank_entropy,protocol_disagreement_score,consensus_strength
ATP-HTVS-1D0FF5192E4C,80545,412,212,312.0,0.00375456555171088,1.0,0.12254901960784313,0.8094362745098039
ATP-HTVS-0F6915EAEEA3,79267,577,47,312.0,0.02636643658688966,1.0,0.3247549019607843,0.8094362745098038
ATP-HTVS-BB3EB03EB4C6,57699,252,379,315.5,0.00151393469458862,1.0,0.0778186274509804,0.8072916666666666
ATP-HTVS-F8C49F655F6D,82083,514,121,317.5,0.014497222372404845,1.0,0.24080882352941177,0.8060661764705883
ATP-HTVS-DC74BD16E68F,93697,303,336,319.5,0.00010221804714532873,1.0,0.02022058823529412,0.8048406862745098
ATP-HTVS-D7583D638CF7,84707,631,14,322.5,0.03573304513288158,1.0,0.37806372549019607,0.8030024509803921
ATP-HTVS-3FEB13A0176D,79265,614,32,323.0,0.03179403654844291,1.0,0.35661764705882354,0.8026960784313726
ATP-HTVS-14AE04B6952B,40129,17,632,324.5,0.03550176389489619,1.0,0.37683823529411764,0.8017769607843137
ATP-HTVS-DF60AB231AB0,75491,376,275,325.5,0.0009575080798250674,1.0,0.061887254901960786,0.8011642156862746
ATP-HTVS-F3E91D83A828,87939,471,182,326.5,0.007839626736111112,1.0,0.17708333333333334,0.8005514705882353
ATP-HTVS-4B898DE9EBD2,87971,74,579,326.5,0.023937701995626684,1.0,0.30943627450980393,0.8005514705882353
ATP-HTVS-D102EB8CAB11,61025,122,532,327.0,0.015778561731064976,1.0,0.2512254901960784,0.8002450980392157
ATP-HTVS-E6F8A3974F14,60291,77,578,327.5,0.02355999270112457,1.0,0.3069852941176471,0.7999387254901961
ATP-HTVS-323526AAC152,84355,337,318,327.5,3.3884954104190696e-05,1.0,0.011642156862745098,0.7999387254901962
ATP-HTVS-E6C07A7730FF,89954,299,360,329.5,0.00034926846044790465,1.0,0.037377450980392156,0.7987132352941176
ATP-HTVS-185EDA97C211,76994,306,356,331.0,0.00023466034698193,1.0,0.030637254901960783,0.7977941176470589
ATP-HTVS-917EA3B617CA,53634,547,116,331.5,0.017436296286284122,1.0,0.26409313725490197,0.7974877450980393
ATP-HTVS-DF13A29C86DC,74403,241,424,332.5,0.003143416144031142,1.0,0.11213235294117647,0.796875
ATP-HTVS-F9B5ED51D5DA,81571,228,440,334.0,0.004218629853902346,1.0,0.12990196078431374,0.7959558823529411
ATP-HTVS-19DB56372FFA,71203,377,298,337.5,0.0005858060902056902,1.0,0.04840686274509804,0.7938112745098039
ATP-HTVS-8BFFC6150277,53633,350,326,338.0,5.406574394463668e-05,1.0,0.014705882352941176,0.7935049019607843
ATP-HTVS-22E2482E2999,48354,585,91,338.0,0.022906228974432907,1.0,0.30269607843137253,0.7935049019607843
ATP-HTVS-EC2D3AD3168F,83201,333,347,340.0,1.839737120338332e-05,0.0,0.00857843137254902,0.7922794117647058
ATP-HTVS-1AEE198E3D8C,1538,131,550,340.5,0.016478882070597844,1.0,0.25674019607843135,0.7919730392156863
ATP-HTVS-1EBFDE0160CD,86882,291,390,340.5,0.0009199624243079584,1.0,0.06066176470588235,0.7919730392156863
ATP-HTVS-1940D4055FE9,82787,292,392,342.0,0.00093864138792772,1.0,0.061274509803921566,0.7910539215686274
ATP-HTVS-508A27B63548,61411,467,218,342.5,0.005819670469290658,1.0,0.15257352941176472,0.7907475490196079
ATP-HTVS-19E7C62EA548,27651,574,111,342.5,0.02012156156886774,1.0,0.28370098039215685,0.7907475490196079
ATP-HTVS-9AD82B0B5D2D,80610,32,654,343.0,0.036314533472702804,1.0,0.38112745098039214,0.7904411764705882
ATP-HTVS-00C8034698A8,34403,624,62,343.0,0.029646425052864283,1.0,0.3443627450980392,0.7904411764705883
ATP-HTVS-C9013CEACAA9,79266,626,69,347.5,0.029121255196318724,1.0,0.34129901960784315,0.7876838235294117
ATP-HTVS-5A2EB4E9D835,63779,602,94,348.0,0.02422295511341792,1.0,0.3112745098039216,0.7873774509803921
ATP-HTVS-E4A79D64766C,52865,62,634,348.0,0.030710844386774315,1.0,0.35049019607843135,0.7873774509803921
ATP-HTVS-FD8D954BBECF,27202,533,166,349.5,0.01264246698985967,1.0,0.22487745098039216,0.7864583333333334
ATP-HTVS-40CB5FD4F4D8,94114,312,388,350.0,0.0005421592656670511,1.0,0.04656862745098039,0.7861519607843137
