candidate_id,candidate_origin,parent_id,canonical_smiles,scaffold,cluster,selection_class,glide_score,glide_rank,vina_score,vina_rank,acquisition_score,protocol_disagreement,novelty,tractability,pose_path
ATP-HTVS-397149B089BD,phase15_historical_htvs,,Cc1cccc(-c2nn(Cc3ccccc3)cc2C[NH2+]Cc2cccc3c2CCN3)c1,c1ccc(Cn2cc(C[NH2+]Cc3cccc4c3CCN4)c(-c3ccccc3)n2)cc1,816,scaffold_diverse,,55,-8.594,339,0.0570203081232493,0.1740196078431372,1.0,,
ATP-HTVS-7CD79F872AFC,phase15_historical_htvs,,C[NH+](C)Cc1cccc(CNc2n/c(=[NH+]\Cc3cccc[nH+]3)c3ccccc3[nH]2)c1,c1ccc(CNc2nc(=[NH+]Cc3cccc[nH+]3)c3ccccc3[nH]2)cc1,677,scaffold_diverse,,305,-9.071,107,0.0558009453781512,0.1213235294117647,1.0,,
ATP-HTVS-B7334B97F240,phase15_historical_htvs,,C[NH+](C)Cc1ccc(CNc2c[nH]/c(=N\C(=O)c3ccccc3C#N)c(-n3cccc3)c2)cc1,O=C(N=c1[nH]cc(NCc2ccccc2)cc1-n1cccc1)c1ccccc1,546,scaffold_diverse,,227,-8.86,191,0.0537605042016806,0.0220588235294117,1.0,,
ATP-HTVS-1356F7D69808,phase15_historical_htvs,,C[NH+](C)Cc1ccc(NC(=O)NC[C@H]2c3ccccc3C(=O)N2Cc2ccccc2)c(F)c1,O=C(NCC1c2ccccc2C(=O)N1Cc1ccccc1)Nc1ccccc1,889,scaffold_diverse,,420,-9.306,58,0.057204131652661,0.221813725490196,1.0,,
ATP-HTVS-531EE93584A6,phase15_historical_htvs,,Cc1ccc([C@H](O)CNc2cc(-c3ccccn3)nc3c(F)cccc23)cc1,c1ccc(CCNc2cc(-c3ccccn3)nc3ccccc23)cc1,756,scaffold_diverse,,419,-9.075,106,0.0561716561624649,0.1917892156862745,1.0,,
ATP-HTVS-1E5A6A308B25,phase15_historical_htvs,,CN(C(=O)c1ccccc1F)c1ccncc1NCc1ccc(C[NH+](C)C)cc1,O=C(Nc1ccncc1NCc1ccccc1)c1ccccc1,861,medium_controls,,1086,-8.358,548,0.04501677397449,0.329656862745098,0.8760259858910316,,
ATP-HTVS-9F81613398D9,phase15_historical_htvs,,C[NH+](C)Cc1cccc(CNc2cnc(NC(=O)c3cccc(F)c3F)c(-n3cccc3)c2)c1,O=C(Nc1ncc(NCc2ccccc2)cc1-n1cccc1)c1ccccc1,54,medium_controls,,1094,-8.362,540,0.0395069647244861,0.3394607843137255,0.6069634889387587,,
ATP-HTVS-48ECC7021683,phase15_historical_htvs,,C[NH+](C)Cc1cccc(CNc2csc(C(=O)NCc3cccc(Cl)c3)c2)c1,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,189,medium_controls,,688,-7.885,944,0.0326821520225232,0.1568627450980392,0.5256206695802796,,
ATP-HTVS-7BEC4E93BD87,phase15_historical_htvs,,CN(C)c1ccc(CCNc2c(NC(=O)c3cccc([S-])c3)c[nH+]c3ccccc23)cc1,O=C(Nc1c[nH+]c2ccccc2c1NCCc1ccccc1)c1ccccc1,164,medium_controls,,1098,-8.363,538,0.0391694988867748,0.3431372549019608,0.6189080487154627,,
ATP-HTVS-24E588DA0D03,phase15_historical_htvs,,CNc1cccc(CNc2c(NC(=O)c3ccc(C[NH+](C)C)cc3)c[nH+]c3ccccc23)c1,O=C(Nc1c[nH+]c2ccccc2c1NCc1ccccc1)c1ccccc1,2,medium_controls,,510,-7.562,1122,0.027898685895612,0.375,0.1302971153872423,,
