measurement_id,compound_key,source_compound_id,compound_name,assay_id,target,subunit_complex,organism,strain,assay_system,endpoint,value_relation,value,value_upper,error_or_sd,unit,molar_value,p_activity,derived_activity_class,input_sar_class,assay_method,doi,source_url,pmc_url,source_locator,source_level_input,release_partition,use_for_training,use_for_default_regression,exclusion_reason,raw_activity_type,raw_target,raw_activity_value,raw_unit,raw_assay_method,source_file,source_row,raw_biosystem,duplicate_group_size,duplicate_rank,is_canonical_observation
msr_8de76ca67aaf,CYFLBGUKERCHRN-UHFFFAOYSA-N,WSA291,WSA291,asy_09db5b390fa3,whole cell,,Acinetobacter baumannii,ATCC 17978,,MIC,exact,32.0,,,ug/mL,6.352596921769754e-05,4.197048700182563,intermediate,moderate,"broth microdilution, CLSI",10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Main article Table 1,,auxiliary,False,False,,MIC,whole cell,32,μg/mL,"broth microdilution, CLSI",negative_SAR_examples.csv,61,Acinetobacter baumannii ATCC 17978,1,1,True
msr_a13046bb0a85,CYFLBGUKERCHRN-UHFFFAOYSA-N,WSA291,WSA291,asy_e5f3cb9ffd5c,whole cell,,Acinetobacter baumannii,,,MIC,exact,32.0,,,ug/mL,6.352596921769754e-05,4.197048700182563,intermediate,moderate,"broth microdilution, CLSI",10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Main article Table 1,,auxiliary,False,False,,MIC,whole cell,32,μg/mL,"broth microdilution, CLSI",negative_SAR_examples.csv,62,Acinetobacter baumannii BAA 1605 (MDR),1,1,True
msr_076c7fb57616,CYFLBGUKERCHRN-UHFFFAOYSA-N,WSA291,WSA291,asy_4530e22b9bbd,whole cell (cytotoxicity),,Homo sapiens HEK 293,,,cell_viability,lt,2.0,,,ug/mL,3.970373076106096e-06,5.401168682838488,intermediate,strong,"XTT cell viability, 24 h",10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Main article Table 1 (XTT),,auxiliary,False,False,,"MIC (cytotoxicity, XTT)",whole cell (cytotoxicity),<2,μg/mL,"XTT cell viability, 24 h",negative_SAR_examples.csv,63,Homo sapiens HEK 293,1,1,True
msr_75712c1821f9,OQFGGMRRCQCVER-UHFFFAOYSA-N,WSA292,WSA292,asy_09db5b390fa3,whole cell,,Acinetobacter baumannii,ATCC 17978,,MIC,exact,16.0,,,ug/mL,3.066773237036654e-05,4.513318335378636,intermediate,moderate,"broth microdilution, CLSI",10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Main article Table 1,,auxiliary,False,False,,MIC,whole cell,16,μg/mL,"broth microdilution, CLSI",negative_SAR_examples.csv,64,Acinetobacter baumannii ATCC 17978,1,1,True
msr_fb1aec8468a9,OQFGGMRRCQCVER-UHFFFAOYSA-N,WSA292,WSA292,asy_e5f3cb9ffd5c,whole cell,,Acinetobacter baumannii,,,MIC,exact,32.0,,,ug/mL,6.133546474073307e-05,4.212288339714655,intermediate,moderate,"broth microdilution, CLSI",10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Main article Table 1,,auxiliary,False,False,,MIC,whole cell,32,μg/mL,"broth microdilution, CLSI",negative_SAR_examples.csv,65,Acinetobacter baumannii BAA 1605 (MDR),1,1,True
msr_cbbc24b9c686,OQFGGMRRCQCVER-UHFFFAOYSA-N,WSA292,WSA292,asy_4530e22b9bbd,whole cell (cytotoxicity),,Homo sapiens HEK 293,,,cell_viability,exact,4.0,,,ug/mL,7.666933092591634e-06,5.115378326706598,intermediate,strong,"XTT cell viability, 24 h",10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Main article Table 1 (XTT),,auxiliary,False,False,,"MIC (cytotoxicity, XTT)",whole cell (cytotoxicity),4,μg/mL,"XTT cell viability, 24 h",negative_SAR_examples.csv,66,Homo sapiens HEK 293,1,1,True
msr_5f80b16e4d31,WFBMDLWJDONKOF-UHFFFAOYSA-N,WSA293,WSA293,asy_09db5b390fa3,whole cell,,Acinetobacter baumannii,ATCC 17978,,MIC,exact,32.0,,,ug/mL,6.632248062658164e-05,4.1783392384546385,intermediate,moderate,"broth microdilution, CLSI",10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Main article Table 1,,auxiliary,False,False,,MIC,whole cell,32,μg/mL,"broth microdilution, CLSI",negative_SAR_examples.csv,19,Acinetobacter baumannii ATCC 17978,1,1,True
msr_71ebbd251044,WFBMDLWJDONKOF-UHFFFAOYSA-N,WSA293,WSA293,asy_e5f3cb9ffd5c,whole cell,,Acinetobacter baumannii,,,MIC,exact,64.0,,,ug/mL,0.0001326449612531633,3.8773092427906573,inactive,moderate,"broth microdilution, CLSI",10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Main article Table 1,,auxiliary,False,False,,MIC,whole cell,64,μg/mL,"broth microdilution, CLSI",negative_SAR_examples.csv,20,Acinetobacter baumannii BAA 1605 (MDR),1,1,True
msr_4c952b0cb67d,WFBMDLWJDONKOF-UHFFFAOYSA-N,WSA293,WSA293,asy_4530e22b9bbd,whole cell (cytotoxicity),,Homo sapiens HEK 293,,,cell_viability,exact,64.0,,,ug/mL,0.0001326449612531633,3.8773092427906573,inactive,moderate,"XTT cell viability, 24 h",10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Main article Table 1 (XTT),,auxiliary,False,False,,"MIC (cytotoxicity, XTT)",whole cell (cytotoxicity),64,μg/mL,"XTT cell viability, 24 h",negative_SAR_examples.csv,21,Homo sapiens HEK 293,1,1,True
msr_2b1b773137b1,FPTVNOKSIHPUTA-UHFFFAOYSA-N,WSA294,WSA294,asy_09db5b390fa3,whole cell,,Acinetobacter baumannii,ATCC 17978,,MIC,exact,32.0,,,ug/mL,6.670933284413156e-05,4.175813402677668,intermediate,moderate,"broth microdilution, CLSI",10.1021/acsomega.5c06380,https://doi.org/10.1021/acsomega.5c06380,https://pmc.ncbi.nlm.nih.gov/articles/PMC12509006/,Main article Table 1,,auxiliary,False,False,,MIC,whole cell,32,μg/mL,"broth microdilution, CLSI",negative_SAR_examples.csv,71,Acinetobacter baumannii ATCC 17978,1,1,True
