measurement_id,compound_key,source_compound_id,compound_name,assay_id,target,subunit_complex,organism,strain,assay_system,endpoint,value_relation,value,value_upper,error_or_sd,unit,molar_value,p_activity,derived_activity_class,input_sar_class,assay_method,doi,source_url,pmc_url,source_locator,source_level_input,release_partition,use_for_training,use_for_default_regression,exclusion_reason,raw_activity_type,raw_target,raw_activity_value,raw_unit,raw_assay_method,source_file,source_row,raw_biosystem,duplicate_group_size,duplicate_rank,is_canonical_observation
msr_f27ef8b49ffd,UVOSDXRUYYKIMQ-UHFFFAOYSA-N,WARD2024-12,Ward2024 compound 12,asy_b1909b2078af,whole cell,,Pseudomonas aeruginosa,,,MIC,gt,128.0,,,ug/mL,0.00030948523900481157,3.5093600599609345,inactive,inactive,broth microdilution,10.1021/acsmedchemlett.3c00480,https://doi.org/10.1021/acsmedchemlett.3c00480,https://pmc.ncbi.nlm.nih.gov/articles/PMC10789121/,Main article Table 2,,quarantine_duplicate_lineage,False,False,duplicate lineage row; canonical observation retained in its release partition,MIC,whole cell,>128,μg/mL,broth microdilution,negative_SAR_examples.csv,236,Pseudomonas aeruginosa ATCC BAA 2109 (MDR),5,4,False
msr_6623dacdf13c,UVOSDXRUYYKIMQ-UHFFFAOYSA-N,WARD2024-12,Ward2024 compound 12,asy_b1909b2078af,whole cell,,Pseudomonas aeruginosa,,,MIC,gt,128.0,,,ug/mL,0.00030948523900481157,3.5093600599609345,inactive,inactive,broth microdilution,10.1021/acsmedchemlett.3c00480,https://doi.org/10.1021/acsmedchemlett.3c00480,https://pmc.ncbi.nlm.nih.gov/articles/PMC10789121/,Main article Table 2,,quarantine_duplicate_lineage,False,False,duplicate lineage row; canonical observation retained in its release partition,MIC,whole cell,>128,μg/mL,broth microdilution,negative_SAR_examples.csv,237,Pseudomonas aeruginosa ATCC BAA 2110 (MDR),5,5,False
msr_56f48662f069,SVSBIDILOVJTHE-UHFFFAOYSA-N,WARD2024-13,Ward2024 compound 13,asy_b1909b2078af,whole cell,,Pseudomonas aeruginosa,,,MIC,gt,128.0,,,ug/mL,0.0003725912557489666,3.4287673416687996,inactive,inactive,broth microdilution,10.1021/acsmedchemlett.3c00480,https://doi.org/10.1021/acsmedchemlett.3c00480,https://pmc.ncbi.nlm.nih.gov/articles/PMC10789121/,Main article Table 2,,quarantine_duplicate_lineage,False,False,duplicate lineage row; canonical observation retained in its release partition,MIC,whole cell,>128,μg/mL,broth microdilution,negative_SAR_examples.csv,241,Pseudomonas aeruginosa ATCC BAA 2108 (MDR),4,2,False
msr_3de3069b19da,SVSBIDILOVJTHE-UHFFFAOYSA-N,WARD2024-13,Ward2024 compound 13,asy_b1909b2078af,whole cell,,Pseudomonas aeruginosa,,,MIC,gt,128.0,,,ug/mL,0.0003725912557489666,3.4287673416687996,inactive,inactive,broth microdilution,10.1021/acsmedchemlett.3c00480,https://doi.org/10.1021/acsmedchemlett.3c00480,https://pmc.ncbi.nlm.nih.gov/articles/PMC10789121/,Main article Table 2,,quarantine_duplicate_lineage,False,False,duplicate lineage row; canonical observation retained in its release partition,MIC,whole cell,>128,μg/mL,broth microdilution,negative_SAR_examples.csv,242,Pseudomonas aeruginosa ATCC BAA 2109 (MDR),4,3,False
msr_f4824eebfd44,SVSBIDILOVJTHE-UHFFFAOYSA-N,WARD2024-13,Ward2024 compound 13,asy_b1909b2078af,whole cell,,Pseudomonas aeruginosa,,,MIC,gt,128.0,,,ug/mL,0.0003725912557489666,3.4287673416687996,inactive,inactive,broth microdilution,10.1021/acsmedchemlett.3c00480,https://doi.org/10.1021/acsmedchemlett.3c00480,https://pmc.ncbi.nlm.nih.gov/articles/PMC10789121/,Main article Table 2,,quarantine_duplicate_lineage,False,False,duplicate lineage row; canonical observation retained in its release partition,MIC,whole cell,>128,μg/mL,broth microdilution,negative_SAR_examples.csv,243,Pseudomonas aeruginosa ATCC BAA 2110 (MDR),4,4,False
msr_45e2a9e5e1f4,MISXPGZSFAATQD-UHFFFAOYSA-N,WARD2024-15,Ward2024 compound 15,asy_b1909b2078af,whole cell,,Pseudomonas aeruginosa,,,MIC,gt,128.0,,,ug/mL,0.0003336765683450424,3.4766742895865703,inactive,inactive,broth microdilution,10.1021/acsmedchemlett.3c00480,https://doi.org/10.1021/acsmedchemlett.3c00480,https://pmc.ncbi.nlm.nih.gov/articles/PMC10789121/,Main article Table 2,,quarantine_duplicate_lineage,False,False,duplicate lineage row; canonical observation retained in its release partition,MIC,whole cell,>128,μg/mL,broth microdilution,negative_SAR_examples.csv,254,Pseudomonas aeruginosa ATCC BAA 2108 (MDR),4,2,False
msr_32e2a558f76e,MISXPGZSFAATQD-UHFFFAOYSA-N,WARD2024-15,Ward2024 compound 15,asy_b1909b2078af,whole cell,,Pseudomonas aeruginosa,,,MIC,gt,128.0,,,ug/mL,0.0003336765683450424,3.4766742895865703,inactive,inactive,broth microdilution,10.1021/acsmedchemlett.3c00480,https://doi.org/10.1021/acsmedchemlett.3c00480,https://pmc.ncbi.nlm.nih.gov/articles/PMC10789121/,Main article Table 2,,quarantine_duplicate_lineage,False,False,duplicate lineage row; canonical observation retained in its release partition,MIC,whole cell,>128,μg/mL,broth microdilution,negative_SAR_examples.csv,255,Pseudomonas aeruginosa ATCC BAA 2109 (MDR),4,3,False
msr_5dee10b927c7,MISXPGZSFAATQD-UHFFFAOYSA-N,WARD2024-15,Ward2024 compound 15,asy_b1909b2078af,whole cell,,Pseudomonas aeruginosa,,,MIC,gt,128.0,,,ug/mL,0.0003336765683450424,3.4766742895865703,inactive,inactive,broth microdilution,10.1021/acsmedchemlett.3c00480,https://doi.org/10.1021/acsmedchemlett.3c00480,https://pmc.ncbi.nlm.nih.gov/articles/PMC10789121/,Main article Table 2,,quarantine_duplicate_lineage,False,False,duplicate lineage row; canonical observation retained in its release partition,MIC,whole cell,>128,μg/mL,broth microdilution,negative_SAR_examples.csv,256,Pseudomonas aeruginosa ATCC BAA 2110 (MDR),4,4,False
msr_c315930af657,UYSBYFPUEOTVDZ-UHFFFAOYSA-N,WARD2024-17,Ward2024 compound 17,asy_b1909b2078af,whole cell,,Pseudomonas aeruginosa,,,MIC,gt,128.0,,,ug/mL,0.0004109756175871878,3.38618394323695,inactive,inactive,broth microdilution,10.1021/acsmedchemlett.3c00480,https://doi.org/10.1021/acsmedchemlett.3c00480,https://pmc.ncbi.nlm.nih.gov/articles/PMC10789121/,Main article Table 2,,quarantine_duplicate_lineage,False,False,duplicate lineage row; canonical observation retained in its release partition,MIC,whole cell,>128,μg/mL,broth microdilution,negative_SAR_examples.csv,267,Pseudomonas aeruginosa ATCC BAA 2108 (MDR),4,2,False
msr_0383675034f5,UYSBYFPUEOTVDZ-UHFFFAOYSA-N,WARD2024-17,Ward2024 compound 17,asy_b1909b2078af,whole cell,,Pseudomonas aeruginosa,,,MIC,gt,128.0,,,ug/mL,0.0004109756175871878,3.38618394323695,inactive,inactive,broth microdilution,10.1021/acsmedchemlett.3c00480,https://doi.org/10.1021/acsmedchemlett.3c00480,https://pmc.ncbi.nlm.nih.gov/articles/PMC10789121/,Main article Table 2,,quarantine_duplicate_lineage,False,False,duplicate lineage row; canonical observation retained in its release partition,MIC,whole cell,>128,μg/mL,broth microdilution,negative_SAR_examples.csv,268,Pseudomonas aeruginosa ATCC BAA 2109 (MDR),4,3,False
