compound_id,compound_code,canonical_smiles,scaffold,historical_HTVS_score,docking_rank_utility,reference_similarity,parent_reference_similarity,reference_compound,reference_key,reference_doi,source_file
ATP-HTVS-0125A5267C6C,70530,C[NH+](C)Cc1cccc(CNc2cnc(NC(=O)c3ccc(O)cc3)c3ccccc23)c1,O=C(Nc1ncc(NCc2ccccc2)c2ccccc12)c1ccccc1,-4.51418145101,0.6348039215686274,0.25,0.2602739726027397,compound 1 (Fraunfelter 2023),WIDVPHSBAXLSEU-LJQANCHMSA-N,10.1021/acsinfecdis.3c00317,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-0161AEC2E23E,48867,C[C@@H]([NH2+]Cc1ccccc1C[NH+](C)C)c1ccc(-c2ccccc2[N+](=O)[O-])s1,c1ccc(C[NH2+]Cc2ccc(-c3ccccc3)s2)cc1,-4.83483869865031,0.7653186274509804,0.12941176470588237,0.21518987341772153,compound 15 (Steed 2022),RIDDIWJTDCGXDH-NRFANRHFSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-017DA1C05B1D,98562,C[C@H]([NH2+]CC#Cc1cnc(NC(=O)Cc2ccccc2C#N)c2ccccc12)c1ccccc1,O=C(Cc1ccccc1)Nc1ncc(C#CC[NH2+]Cc2ccccc2)c2ccccc12,-4.47627817522789,0.6158088235294117,0.23809523809523808,0.24691358024691357,compound 15 (Steed 2022),RIDDIWJTDCGXDH-NRFANRHFSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-01DF3EF44742,99137,C[NH+](C)Cc1cccc(Nc2cnccc2C(=O)N(CCO)c2ccccc2)c1,O=C(Nc1ccccc1)c1ccncc1Nc1ccccc1,-4.47878814702221,0.616421568627451,0.24358974358974358,0.3142857142857143,compound 8 (Steed 2022),ROJPDORYZONAPF-UHFFFAOYSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-01E9987F6BBC,40801,O=C1CN(Cc2c(F)ccc(F)c2F)[C@@H](c2ccccc2)c2ccccc2N1,O=C1CN(Cc2ccccc2)C(c2ccccc2)c2ccccc2N1,-1.40856773004933,0.026960784313725505,0.1686746987951807,0.1686746987951807,WSA298,IZWVLJVCXHHUOO-UHFFFAOYSA-N,10.1021/acsomega.5c06380,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-02393E0D1A46,72513,Cc1cccc([C@H](O)CNc2c(NC(=O)c3ccccc3)c[nH+]c3ccccc23)c1,O=C(Nc1c[nH+]c2ccccc2c1NCCc1ccccc1)c1ccccc1,-4.68860698749509,0.7144607843137255,0.19318181818181818,0.21951219512195122,compound 18 (Steed 2022),DCLANSSFVIGXHQ-OAQYLSRUSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-02527EDCA73D,62593,O[C@@H](C[NH2+]Cc1nc2ccccc2n1Cc1ccc(Cl)cc1)c1cccc(Cl)c1,c1ccc(CC[NH2+]Cc2nc3ccccc3n2Cc2ccccc2)cc1,-5.15716390255472,0.8694852941176471,0.2125,0.27631578947368424,WSA249,YEMLSUARMQTHJO-UHFFFAOYSA-N,10.1002/cmdc.202400952,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-0258CCAE4910,3905,C[NH+](C)CCNc1ccc(CNC(=O)c2cn(-c3ccccc3)c(=O)c3ccccc23)cc1,O=C(NCc1ccccc1)c1cn(-c2ccccc2)c(=O)c2ccccc12,-3.77278250253085,0.32475490196078427,0.1875,0.22666666666666666,compound 8 (Steed 2022),ROJPDORYZONAPF-UHFFFAOYSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-027CB3113620,20194,CC[C@H](c1ccccc1)N(C)C(=O)c1nn2ccccc2c1C(=O)NCc1ccc(CN(C)C)cc1,O=C(NCc1ccccc1)c1nn2ccccc2c1C(=O)NCc1ccccc1,-2.49226291162582,0.1207107843137255,0.2631578947368421,0.2631578947368421,Ward2024 compound 1,DVUDEYVEBQKKMF-UHFFFAOYSA-N,10.1021/acsmedchemlett.3c00480,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-0282D10141FD,57825,Cc1cccc(O)c1C[NH2+]Cc1cn(-c2ccccc2)nc1-c1ccncc1,c1ccc(C[NH2+]Cc2cn(-c3ccccc3)nc2-c2ccncc2)cc1,-4.7455117172325,0.735906862745098,0.16666666666666666,0.22784810126582278,WSA280,XQBWCRMKNUAPEC-UHFFFAOYSA-N,10.1021/acsomega.5c06380,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-028F2DC4E032,96994,C[NH+](C)Cc1ccc(Cn2c(-c3ccccc3Br)nc3cccc(F)c3c2=O)cc1,O=c1c2ccccc2nc(-c2ccccc2)n1Cc1ccccc1,-4.69863757955225,0.7205882352941176,0.20512820512820512,0.30434782608695654,Ward2024 compound 19,PXXYITLVUSHXPN-UHFFFAOYSA-N,10.1021/acsmedchemlett.3c00480,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-02AC8E798E60,89826,C[NH+](C)[C@H](Cc1cc(-c2ccncc2)nc2ccccc12)c1ccccc1Cl,c1ccc(CCc2cc(-c3ccncc3)nc3ccccc23)cc1,-4.27581637536966,0.5220588235294117,0.24324324324324326,0.2608695652173913,WSA249,YEMLSUARMQTHJO-UHFFFAOYSA-N,10.1002/cmdc.202400952,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-02BB8772E392,54466,Cc1c(CN2CC(=O)Nc3ccccc3[C@@H]2c2ccccc2)cccc1C(F)(F)F,O=C1CN(Cc2ccccc2)C(c2ccccc2)c2ccccc2N1,-1.68205076672122,0.05147058823529416,0.16666666666666666,0.16666666666666666,Ward2024 compound 13,SVSBIDILOVJTHE-UHFFFAOYSA-N,10.1021/acsmedchemlett.3c00480,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-02DF9A19852D,45889,c1ccc(Cn2c(C[NH2+]CC[C@@H](c3ccccc3)[NH+]3CCCC3)nc3ccccc32)cc1,c1ccc(Cn2c(C[NH2+]CCC(c3ccccc3)[NH+]3CCCC3)nc3ccccc32)cc1,-4.97657782986944,0.8149509803921569,0.2597402597402597,0.3380281690140845,WSA249,YEMLSUARMQTHJO-UHFFFAOYSA-N,10.1002/cmdc.202400952,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-0362648F57EF,78755,Cc1ccc(N(C)C(=O)c2cc(NCc3ccc(C[NH+](C)C)cc3)c(Cl)s2)cc1Cl,O=C(Nc1ccccc1)c1cc(NCc2ccccc2)cs1,-3.94325468056887,0.39522058823529416,0.19480519480519481,0.2676056338028169,Ward2024 compound 11,IIRFHYMEOYQCBC-UHFFFAOYSA-N,10.1021/acsmedchemlett.3c00480,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-03C3664644A2,98497,C[C@@H](C#N)N(c1ccccc1)c1c(CN(C)C(=O)Cc2ccc(O)cc2)sc2ccccc12,O=C(Cc1ccccc1)NCc1sc2ccccc2c1Nc1ccccc1,-4.15070282757494,0.47058823529411764,0.2289156626506024,0.2289156626506024,compound 15 (Steed 2022),RIDDIWJTDCGXDH-NRFANRHFSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-03F3A1A9B60E,77378,CN(C(=O)c1sccc1NCc1ccc(C[NH+](C)C)cc1)c1ccccc1N,O=C(Nc1ccccc1)c1sccc1NCc1ccccc1,-2.87454592440143,0.14583333333333337,0.2125,0.2835820895522388,compound 1 (Fraunfelter 2023),WIDVPHSBAXLSEU-LJQANCHMSA-N,10.1021/acsinfecdis.3c00317,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-0438281B0112,75297,C[NH+](C)Cc1ccccc1Nc1nc2ccccc2nc1-c1ccccc1,c1ccc(Nc2nc3ccccc3nc2-c2ccccc2)cc1,-4.14983282792689,0.4699754901960784,0.23076923076923078,0.3103448275862069,Ward2024 compound 6,LKLACXNGVWXYAW-UHFFFAOYSA-N,10.1021/acsmedchemlett.3c00480,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-0460857F35D6,52162,OCCOc1ccc(CNCc2cn(Cc3ccccc3)nc2-c2ccccc2)cc1,c1ccc(CNCc2cn(Cc3ccccc3)nc2-c2ccccc2)cc1,-3.06745979615094,0.1654411764705882,0.40298507462686567,0.40298507462686567,WSA294,FPTVNOKSIHPUTA-UHFFFAOYSA-N,10.1021/acsomega.5c06380,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-04621B482D9F,87427,C[NH+](C)Cc1ccc(CNc2ccsc2C(=O)N(C#N)c2ccccc2)cc1,O=C(Nc1ccccc1)c1sccc1NCc1ccccc1,-4.54855997419821,0.6513480392156863,0.2,0.29850746268656714,compound 1 (Fraunfelter 2023),WIDVPHSBAXLSEU-LJQANCHMSA-N,10.1021/acsinfecdis.3c00317,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-04BA495CA0A4,22531,Cc1cccc([C@@H](CN(C)C)[NH2+]Cc2nc3ccccc3c(-c3ccccc3)c2Cl)c1,c1ccc(C[NH2+]Cc2cc(-c3ccccc3)c3ccccc3n2)cc1,-3.00531349655571,0.15931372549019607,0.2236842105263158,0.25675675675675674,Ward2024 compound 6,LKLACXNGVWXYAW-UHFFFAOYSA-N,10.1021/acsmedchemlett.3c00480,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-052AF9B11E6A,34531,CCCN(C)[C@H](CNCc1ccc(OCc2ccccc2)cn1)c1ccc(Cl)cc1,c1ccc(CCNCc2ccc(OCc3ccccc3)cn2)cc1,-1.36010897797717,0.02450980392156865,0.27380952380952384,0.25882352941176473,WSA296,HCBCVTVDQQQYPH-UHFFFAOYSA-N,10.1021/acsomega.5c06380,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-053279755E30,96641,CN(C(=O)CC(C)(C)c1ccccc1)c1[nH+]cccc1NCc1ccc(C[NH+](C)C)cc1,O=C(CCc1ccccc1)Nc1[nH+]cccc1NCc1ccccc1,-2.01240354385726,0.07904411764705888,0.2077922077922078,0.2898550724637681,Ward2024 compound 6,LKLACXNGVWXYAW-UHFFFAOYSA-N,10.1021/acsmedchemlett.3c00480,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-0587EECAF94B,71363,CN(Cc1ccccc1)C(=O)c1sccc1NCc1ccc(C[NH+](C)C)cc1,O=C(NCc1ccccc1)c1sccc1NCc1ccccc1,-3.96144137791356,0.40379901960784315,0.2318840579710145,0.3064516129032258,Ward2024 compound 1,DVUDEYVEBQKKMF-UHFFFAOYSA-N,10.1021/acsmedchemlett.3c00480,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-05A72EDFB57A,38883,O=C1c2ccccc2[C@@H](C[NH2+]Cc2cccc(O)c2Cl)N1Cc1ccccc1,O=C1c2ccccc2C(C[NH2+]Cc2ccccc2)N1Cc1ccccc1,-5.97314811529865,0.9730392156862745,0.16470588235294117,0.2236842105263158,WSA236,CJWSCOKTAUPKHM-UHFFFAOYSA-N,10.1002/cmdc.202400952,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-05E9E2FC066B,70657,CCN(c1c(NC(=O)c2ccccc2C[NH+](C)C)c[nH+]c2ccccc12)[C@@H](C#N)c1ccccc1,O=C(Nc1c[nH+]c2ccccc2c1NCc1ccccc1)c1ccccc1,-4.72622512874464,0.7285539215686274,0.17391304347826086,0.2222222222222222,compound 15 (Steed 2022),RIDDIWJTDCGXDH-NRFANRHFSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-0659C124A83C,70241,C[NH+](C)Cc1ccc(CNc2cc(CO)nc(Cl)c2OCc2ccccc2)cc1,c1ccc(CNc2ccncc2OCc2ccccc2)cc1,-3.45404571440084,0.22426470588235292,0.28378378378378377,0.3384615384615385,compound 15 (Steed 2022),RIDDIWJTDCGXDH-NRFANRHFSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-069ABDEDA86E,60193,C[NH+](C)Cc1ccc(CNc2nc(NCc3cccc(OCC#N)c3)c3ccccc3[nH+]2)cc1,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1,-4.26179409221933,0.5177696078431373,0.23076923076923078,0.34285714285714286,WSA296,HCBCVTVDQQQYPH-UHFFFAOYSA-N,10.1021/acsomega.5c06380,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-06CA19E03C57,93825,CC(=O)c1ccccc1C(=O)Nc1c[nH+]c2ccccc2c1NCCc1ccc(N(C)C)cc1,O=C(Nc1c[nH+]c2ccccc2c1NCCc1ccccc1)c1ccccc1,-4.2587937861896,0.5165441176470589,0.2236842105263158,0.273972602739726,Ward2024 compound 11,IIRFHYMEOYQCBC-UHFFFAOYSA-N,10.1021/acsmedchemlett.3c00480,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-06E5BAB39855,49667,OC[C@H](Cc1ccccc1Cl)[NH2+]Cc1nc2ccccc2n1Cc1ccccc1,c1ccc(CC[NH2+]Cc2nc3ccccc3n2Cc2ccccc2)cc1,-5.39055779577526,0.9099264705882353,0.23376623376623376,0.26666666666666666,WSA249,YEMLSUARMQTHJO-UHFFFAOYSA-N,10.1002/cmdc.202400952,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-071084F9408F,96642,CN(C(=O)CC(C)(C)c1ccccc1)c1cc(NCc2cccc(C[NH+](C)C)c2)cc[nH+]1,O=C(CCc1ccccc1)Nc1cc(NCc2ccccc2)cc[nH+]1,-4.35035063556848,0.5563725490196079,0.2289156626506024,0.25,compound 15 (Steed 2022),RIDDIWJTDCGXDH-NRFANRHFSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-0715C99C3A28,99362,C[NH+](C)Cc1cccc(CNc2cc(Cl)sc2C(=O)Nc2ccc(N)cc2)c1,O=C(Nc1ccccc1)c1sccc1NCc1ccccc1,-4.31020815903779,0.5373774509803921,0.21518987341772153,0.21518987341772153,compound 8 (Steed 2022),ROJPDORYZONAPF-UHFFFAOYSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-0743B9964B99,20417,CN(C(=O)c1cc(-c2ccc(C[NH+](C)C)c(F)c2)nc2ccccc12)c1cccc(N)c1,O=C(Nc1ccccc1)c1cc(-c2ccccc2)nc2ccccc12,-4.32395435766192,0.5428921568627452,0.25842696629213485,0.2631578947368421,compound 19 (Steed 2022),DHQKBEDPXLHXAJ-OAQYLSRUSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-07D9286D8737,76898,CC(=O)[C@H](Nc1cnc2ccccc2c1NC(=O)c1ccc(C[NH+](C)C)cc1)c1ccccc1,O=C(Nc1c(NCc2ccccc2)cnc2ccccc12)c1ccccc1,-4.23957689882345,0.5042892156862745,0.24390243902439024,0.2876712328767123,compound 15 (Steed 2022),RIDDIWJTDCGXDH-NRFANRHFSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-07F3737128F1,86945,CCN(c1cc2ccccc2nc1NC(=O)c1ccc(C)cc1)[C@H](C#N)c1ccccc1,O=C(Nc1nc2ccccc2cc1NCc1ccccc1)c1ccccc1,-2.91614400004075,0.147671568627451,0.275,0.2597402597402597,compound 15 (Steed 2022),RIDDIWJTDCGXDH-NRFANRHFSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-08126335CB19,67841,Cc1ccc(C[C@H](NCc2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)C(=O)[O-])cc1,c1ccc(CCNCc2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)cc1,-2.40929881919301,0.11029411764705888,0.34782608695652173,0.3582089552238806,compound 15 (Steed 2022),RIDDIWJTDCGXDH-NRFANRHFSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-081D95190B15,78402,[NH3+][C@@H](C#Cc1cnc2ccccc2c1NC(=O)C#Cc1ccccc1)Cc1cccc(F)c1,O=C(C#Cc1ccccc1)Nc1c(C#CCCc2ccccc2)cnc2ccccc12,-6.07449494060147,0.9779411764705882,0.24719101123595505,0.23529411764705882,WSA298,IZWVLJVCXHHUOO-UHFFFAOYSA-N,10.1021/acsomega.5c06380,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-08266C4344A3,88675,[NH3+][C@H](C#Cc1cnc2ccccc2c1NC(=O)c1cc(F)cc(F)c1)Cc1cccc(F)c1,O=C(Nc1c(C#CCCc2ccccc2)cnc2ccccc12)c1ccccc1,-5.33799910271163,0.9013480392156863,0.24444444444444444,0.22093023255813954,compound 19 (Steed 2022),DHQKBEDPXLHXAJ-OAQYLSRUSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-0852D38F8C28,46851,CN(Cc1ccc(C[NH+](C)C)cc1)C(=O)Nc1c(-c2ccccc2)c2cc(Cl)ccc2[nH]c1=O,O=C(NCc1ccccc1)Nc1c(-c2ccccc2)c2ccccc2[nH]c1=O,-1.52630325310868,0.03615196078431371,0.1875,0.24324324324324326,Ward2024 compound 1,DVUDEYVEBQKKMF-UHFFFAOYSA-N,10.1021/acsmedchemlett.3c00480,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-08590B5C6743,87873,C[NH+](C)Cc1ccccc1C(=O)Nc1ncc(C#Cc2cccc(O)c2)nc1-c1ccccc1,O=C(Nc1ncc(C#Cc2ccccc2)nc1-c1ccccc1)c1ccccc1,-4.88985591725625,0.7849264705882353,0.21839080459770116,0.23255813953488372,compound 15 (Steed 2022),RIDDIWJTDCGXDH-NRFANRHFSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-086F5E4227DC,20162,C[NH+](C)Cc1ccc(CNc2ccc(-c3ccc(C#N)cc3)s2)cc1,c1ccc(CNc2ccc(-c3ccccc3)s2)cc1,-4.91629733977056,0.7928921568627451,0.1566265060240964,0.2698412698412698,WSA296,HCBCVTVDQQQYPH-UHFFFAOYSA-N,10.1021/acsomega.5c06380,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-08A6E1F87809,61538,Cc1c(N)cccc1CNc1nc(NCc2ccc(C[NH+](C)C)cc2)c2ccccc2[nH+]1,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1,-4.18003369774354,0.48100490196078427,0.19736842105263158,0.36923076923076925,Ward2024 compound 1,DVUDEYVEBQKKMF-UHFFFAOYSA-N,10.1021/acsmedchemlett.3c00480,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
