feature,split_count,gain,feature_group
morgan1024_0222,0,0.0,preserved_v3_feature
morgan1024_0223,0,0.0,preserved_v3_feature
morgan1024_0224,0,0.0,preserved_v3_feature
morgan1024_0225,0,0.0,preserved_v3_feature
morgan1024_0226,0,0.0,preserved_v3_feature
morgan1024_0227,0,0.0,preserved_v3_feature
morgan1024_0228,0,0.0,preserved_v3_feature
morgan1024_0229,0,0.0,preserved_v3_feature
morgan1024_0230,0,0.0,preserved_v3_feature
morgan1024_0231,0,0.0,preserved_v3_feature
morgan1024_0232,0,0.0,preserved_v3_feature
morgan1024_0233,0,0.0,preserved_v3_feature
morgan1024_0234,0,0.0,preserved_v3_feature
morgan1024_0235,0,0.0,preserved_v3_feature
morgan1024_0236,0,0.0,preserved_v3_feature
morgan1024_0237,0,0.0,preserved_v3_feature
morgan1024_0238,0,0.0,preserved_v3_feature
morgan1024_0239,0,0.0,preserved_v3_feature
morgan1024_0240,0,0.0,preserved_v3_feature
morgan1024_0241,0,0.0,preserved_v3_feature
morgan1024_0242,0,0.0,preserved_v3_feature
morgan1024_0243,0,0.0,preserved_v3_feature
morgan1024_0244,0,0.0,preserved_v3_feature
morgan1024_0245,0,0.0,preserved_v3_feature
morgan1024_0246,0,0.0,preserved_v3_feature
morgan1024_0247,0,0.0,preserved_v3_feature
morgan1024_0248,0,0.0,preserved_v3_feature
morgan1024_0249,0,0.0,preserved_v3_feature
morgan1024_0250,0,0.0,preserved_v3_feature
morgan1024_0251,0,0.0,preserved_v3_feature
morgan1024_0252,0,0.0,preserved_v3_feature
morgan1024_0253,0,0.0,preserved_v3_feature
morgan1024_0254,0,0.0,preserved_v3_feature
morgan1024_0256,0,0.0,preserved_v3_feature
morgan1024_0258,0,0.0,preserved_v3_feature
morgan1024_0259,0,0.0,preserved_v3_feature
morgan1024_0260,0,0.0,preserved_v3_feature
morgan1024_0261,0,0.0,preserved_v3_feature
morgan1024_0262,0,0.0,preserved_v3_feature
morgan1024_0263,0,0.0,preserved_v3_feature
morgan1024_0264,0,0.0,preserved_v3_feature
morgan1024_0265,0,0.0,preserved_v3_feature
morgan1024_0266,0,0.0,preserved_v3_feature
morgan1024_0267,0,0.0,preserved_v3_feature
morgan1024_0268,0,0.0,preserved_v3_feature
morgan1024_0269,0,0.0,preserved_v3_feature
morgan1024_0270,0,0.0,preserved_v3_feature
morgan1024_0271,0,0.0,preserved_v3_feature
morgan1024_0272,0,0.0,preserved_v3_feature
morgan1024_0273,0,0.0,preserved_v3_feature
morgan1024_0274,0,0.0,preserved_v3_feature
morgan1024_0276,0,0.0,preserved_v3_feature
morgan1024_0277,0,0.0,preserved_v3_feature
morgan1024_0278,0,0.0,preserved_v3_feature
morgan1024_0279,0,0.0,preserved_v3_feature
morgan1024_0280,0,0.0,preserved_v3_feature
morgan1024_0281,0,0.0,preserved_v3_feature
morgan1024_0282,0,0.0,preserved_v3_feature
morgan1024_0283,0,0.0,preserved_v3_feature
morgan1024_0284,0,0.0,preserved_v3_feature
morgan1024_0285,0,0.0,preserved_v3_feature
morgan1024_0286,0,0.0,preserved_v3_feature
morgan1024_0287,0,0.0,preserved_v3_feature
morgan1024_0288,0,0.0,preserved_v3_feature
morgan1024_0289,0,0.0,preserved_v3_feature
morgan1024_0290,0,0.0,preserved_v3_feature
morgan1024_0291,0,0.0,preserved_v3_feature
morgan1024_0292,0,0.0,preserved_v3_feature
morgan1024_0293,0,0.0,preserved_v3_feature
morgan1024_0294,0,0.0,preserved_v3_feature
morgan1024_0295,0,0.0,preserved_v3_feature
morgan1024_0296,0,0.0,preserved_v3_feature
morgan1024_0297,0,0.0,preserved_v3_feature
morgan1024_0298,0,0.0,preserved_v3_feature
morgan1024_0299,0,0.0,preserved_v3_feature
morgan1024_0300,0,0.0,preserved_v3_feature
morgan1024_0301,0,0.0,preserved_v3_feature
morgan1024_0302,0,0.0,preserved_v3_feature
morgan1024_0303,0,0.0,preserved_v3_feature
morgan1024_0304,0,0.0,preserved_v3_feature
morgan1024_0305,0,0.0,preserved_v3_feature
morgan1024_0306,0,0.0,preserved_v3_feature
morgan1024_0307,0,0.0,preserved_v3_feature
morgan1024_0308,0,0.0,preserved_v3_feature
morgan1024_0309,0,0.0,preserved_v3_feature
morgan1024_0310,0,0.0,preserved_v3_feature
morgan1024_0311,0,0.0,preserved_v3_feature
morgan1024_0312,0,0.0,preserved_v3_feature
morgan1024_0314,0,0.0,preserved_v3_feature
morgan1024_0316,0,0.0,preserved_v3_feature
morgan1024_0317,0,0.0,preserved_v3_feature
morgan1024_0318,0,0.0,preserved_v3_feature
morgan1024_0319,0,0.0,preserved_v3_feature
morgan1024_0320,0,0.0,preserved_v3_feature
morgan1024_0321,0,0.0,preserved_v3_feature
morgan1024_0322,0,0.0,preserved_v3_feature
morgan1024_0323,0,0.0,preserved_v3_feature
morgan1024_0324,0,0.0,preserved_v3_feature
morgan1024_0325,0,0.0,preserved_v3_feature
morgan1024_0326,0,0.0,preserved_v3_feature
morgan1024_0327,0,0.0,preserved_v3_feature
morgan1024_0328,0,0.0,preserved_v3_feature
