feature,feature_group,non_missing,coverage
morgan2048_0338,morgan,18,0.0108499095840868
morgan2048_0339,morgan,18,0.0108499095840868
morgan2048_0340,morgan,18,0.0108499095840868
morgan2048_0341,morgan,18,0.0108499095840868
morgan2048_0342,morgan,18,0.0108499095840868
morgan2048_0343,morgan,18,0.0108499095840868
morgan2048_0344,morgan,18,0.0108499095840868
morgan2048_0345,morgan,18,0.0108499095840868
morgan2048_0346,morgan,18,0.0108499095840868
morgan2048_0347,morgan,18,0.0108499095840868
morgan2048_0348,morgan,18,0.0108499095840868
morgan2048_0349,morgan,18,0.0108499095840868
morgan2048_0350,morgan,18,0.0108499095840868
morgan2048_0351,morgan,18,0.0108499095840868
morgan2048_0352,morgan,18,0.0108499095840868
morgan2048_0353,morgan,18,0.0108499095840868
morgan2048_0354,morgan,18,0.0108499095840868
morgan2048_0355,morgan,18,0.0108499095840868
morgan2048_0356,morgan,18,0.0108499095840868
morgan2048_0357,morgan,18,0.0108499095840868
morgan2048_0358,morgan,18,0.0108499095840868
morgan2048_0359,morgan,18,0.0108499095840868
morgan2048_0360,morgan,18,0.0108499095840868
morgan2048_0361,morgan,18,0.0108499095840868
morgan2048_0362,morgan,18,0.0108499095840868
morgan2048_0363,morgan,18,0.0108499095840868
morgan2048_0364,morgan,18,0.0108499095840868
morgan2048_0365,morgan,18,0.0108499095840868
morgan2048_0366,morgan,18,0.0108499095840868
morgan2048_0367,morgan,18,0.0108499095840868
morgan2048_0368,morgan,18,0.0108499095840868
morgan2048_0369,morgan,18,0.0108499095840868
morgan2048_0370,morgan,18,0.0108499095840868
morgan2048_0371,morgan,18,0.0108499095840868
morgan2048_0372,morgan,18,0.0108499095840868
morgan2048_0373,morgan,18,0.0108499095840868
morgan2048_0374,morgan,18,0.0108499095840868
morgan2048_0375,morgan,18,0.0108499095840868
morgan2048_0376,morgan,18,0.0108499095840868
morgan2048_0377,morgan,18,0.0108499095840868
morgan2048_0378,morgan,18,0.0108499095840868
morgan2048_0379,morgan,18,0.0108499095840868
morgan2048_0380,morgan,18,0.0108499095840868
morgan2048_0381,morgan,18,0.0108499095840868
morgan2048_0382,morgan,18,0.0108499095840868
morgan2048_0383,morgan,18,0.0108499095840868
morgan2048_0384,morgan,18,0.0108499095840868
morgan2048_0385,morgan,18,0.0108499095840868
morgan2048_0386,morgan,18,0.0108499095840868
morgan2048_0387,morgan,18,0.0108499095840868
morgan2048_0388,morgan,18,0.0108499095840868
morgan2048_0389,morgan,18,0.0108499095840868
morgan2048_0390,morgan,18,0.0108499095840868
morgan2048_0391,morgan,18,0.0108499095840868
morgan2048_0392,morgan,18,0.0108499095840868
morgan2048_0393,morgan,18,0.0108499095840868
morgan2048_0394,morgan,18,0.0108499095840868
morgan2048_0395,morgan,18,0.0108499095840868
morgan2048_0396,morgan,18,0.0108499095840868
morgan2048_0397,morgan,18,0.0108499095840868
morgan2048_0398,morgan,18,0.0108499095840868
morgan2048_0399,morgan,18,0.0108499095840868
morgan2048_0400,morgan,18,0.0108499095840868
morgan2048_0401,morgan,18,0.0108499095840868
morgan2048_0402,morgan,18,0.0108499095840868
morgan2048_0403,morgan,18,0.0108499095840868
morgan2048_0404,morgan,18,0.0108499095840868
morgan2048_0405,morgan,18,0.0108499095840868
morgan2048_0406,morgan,18,0.0108499095840868
