feature,feature_group,non_missing,coverage
morgan_0209,morgan,18,0.0108499095840868
morgan_0210,morgan,18,0.0108499095840868
morgan_0211,morgan,18,0.0108499095840868
morgan_0212,morgan,18,0.0108499095840868
morgan_0213,morgan,18,0.0108499095840868
morgan_0214,morgan,18,0.0108499095840868
morgan_0215,morgan,18,0.0108499095840868
morgan_0216,morgan,18,0.0108499095840868
morgan_0217,morgan,18,0.0108499095840868
morgan_0218,morgan,18,0.0108499095840868
morgan_0219,morgan,18,0.0108499095840868
morgan_0220,morgan,18,0.0108499095840868
morgan_0221,morgan,18,0.0108499095840868
morgan_0222,morgan,18,0.0108499095840868
morgan_0223,morgan,18,0.0108499095840868
morgan_0224,morgan,18,0.0108499095840868
morgan_0225,morgan,18,0.0108499095840868
morgan_0226,morgan,18,0.0108499095840868
morgan_0227,morgan,18,0.0108499095840868
morgan_0228,morgan,18,0.0108499095840868
morgan_0229,morgan,18,0.0108499095840868
morgan_0230,morgan,18,0.0108499095840868
morgan_0231,morgan,18,0.0108499095840868
morgan_0232,morgan,18,0.0108499095840868
morgan_0233,morgan,18,0.0108499095840868
morgan_0234,morgan,18,0.0108499095840868
morgan_0235,morgan,18,0.0108499095840868
morgan_0236,morgan,18,0.0108499095840868
morgan_0237,morgan,18,0.0108499095840868
morgan_0238,morgan,18,0.0108499095840868
morgan_0239,morgan,18,0.0108499095840868
morgan_0240,morgan,18,0.0108499095840868
morgan_0241,morgan,18,0.0108499095840868
morgan_0242,morgan,18,0.0108499095840868
morgan_0243,morgan,18,0.0108499095840868
morgan_0244,morgan,18,0.0108499095840868
morgan_0245,morgan,18,0.0108499095840868
morgan_0246,morgan,18,0.0108499095840868
morgan_0247,morgan,18,0.0108499095840868
morgan_0248,morgan,18,0.0108499095840868
morgan_0249,morgan,18,0.0108499095840868
morgan_0250,morgan,18,0.0108499095840868
morgan_0251,morgan,18,0.0108499095840868
morgan_0252,morgan,18,0.0108499095840868
morgan_0253,morgan,18,0.0108499095840868
morgan_0254,morgan,18,0.0108499095840868
morgan_0255,morgan,18,0.0108499095840868
morgan_0256,morgan,18,0.0108499095840868
morgan_0257,morgan,18,0.0108499095840868
morgan_0258,morgan,18,0.0108499095840868
morgan_0259,morgan,18,0.0108499095840868
morgan_0260,morgan,18,0.0108499095840868
morgan_0261,morgan,18,0.0108499095840868
morgan_0262,morgan,18,0.0108499095840868
morgan_0263,morgan,18,0.0108499095840868
morgan_0264,morgan,18,0.0108499095840868
morgan_0265,morgan,18,0.0108499095840868
morgan_0266,morgan,18,0.0108499095840868
morgan_0267,morgan,18,0.0108499095840868
morgan_0268,morgan,18,0.0108499095840868
morgan_0269,morgan,18,0.0108499095840868
morgan_0270,morgan,18,0.0108499095840868
morgan_0271,morgan,18,0.0108499095840868
morgan_0272,morgan,18,0.0108499095840868
morgan_0273,morgan,18,0.0108499095840868
morgan_0274,morgan,18,0.0108499095840868
morgan_0275,morgan,18,0.0108499095840868
morgan_0276,morgan,18,0.0108499095840868
morgan_0277,morgan,18,0.0108499095840868
morgan_0278,morgan,18,0.0108499095840868
morgan_0279,morgan,18,0.0108499095840868
morgan_0280,morgan,18,0.0108499095840868
morgan_0281,morgan,18,0.0108499095840868
morgan_0282,morgan,18,0.0108499095840868
morgan_0283,morgan,18,0.0108499095840868
morgan_0284,morgan,18,0.0108499095840868
morgan_0285,morgan,18,0.0108499095840868
morgan_0286,morgan,18,0.0108499095840868
morgan_0287,morgan,18,0.0108499095840868
morgan_0288,morgan,18,0.0108499095840868
morgan_0289,morgan,18,0.0108499095840868
morgan_0290,morgan,18,0.0108499095840868
morgan_0291,morgan,18,0.0108499095840868
morgan_0292,morgan,18,0.0108499095840868
morgan_0293,morgan,18,0.0108499095840868
morgan_0294,morgan,18,0.0108499095840868
morgan_0295,morgan,18,0.0108499095840868
morgan_0296,morgan,18,0.0108499095840868
morgan_0297,morgan,18,0.0108499095840868
morgan_0298,morgan,18,0.0108499095840868
morgan_0299,morgan,18,0.0108499095840868
morgan_0300,morgan,18,0.0108499095840868
morgan_0301,morgan,18,0.0108499095840868
morgan_0302,morgan,18,0.0108499095840868
morgan_0303,morgan,18,0.0108499095840868
morgan_0304,morgan,18,0.0108499095840868
morgan_0305,morgan,18,0.0108499095840868
morgan_0306,morgan,18,0.0108499095840868
morgan_0307,morgan,18,0.0108499095840868
morgan_0308,morgan,18,0.0108499095840868
morgan_0309,morgan,18,0.0108499095840868
morgan_0310,morgan,18,0.0108499095840868
morgan_0311,morgan,18,0.0108499095840868
morgan_0312,morgan,18,0.0108499095840868
morgan_0313,morgan,18,0.0108499095840868
morgan_0314,morgan,18,0.0108499095840868
morgan_0315,morgan,18,0.0108499095840868
morgan_0316,morgan,18,0.0108499095840868
morgan_0317,morgan,18,0.0108499095840868
morgan_0318,morgan,18,0.0108499095840868
morgan_0319,morgan,18,0.0108499095840868
morgan_0320,morgan,18,0.0108499095840868
morgan_0321,morgan,18,0.0108499095840868
morgan_0322,morgan,18,0.0108499095840868
morgan_0323,morgan,18,0.0108499095840868
morgan_0324,morgan,18,0.0108499095840868
morgan_0325,morgan,18,0.0108499095840868
morgan_0326,morgan,18,0.0108499095840868
morgan_0327,morgan,18,0.0108499095840868
morgan_0328,morgan,18,0.0108499095840868
morgan_0329,morgan,18,0.0108499095840868
morgan_0330,morgan,18,0.0108499095840868
morgan_0331,morgan,18,0.0108499095840868
morgan_0332,morgan,18,0.0108499095840868
morgan_0333,morgan,18,0.0108499095840868
