compound_key,canonical_smiles,inchi_key,molecular_formula,molecular_weight,structure_source,structure_verification,identity_verified,first_seen_compound_id,recomputed_formula,recomputed_mw,parent_identity,scaffold,independent_structural_qc,issues,source_identity_claim,independent_source_identity_verification
SSOJQSHUAQGPLD-UHFFFAOYSA-N,CN1CCN(CCNCc2cc3ccccc3nc2SCc2ccccc2)CC1,SSOJQSHUAQGPLD-UHFFFAOYSA-N,C24H30N4S,406.599,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA250,C24H30N4S,406.59900000000016,CN1CCN(CCNCc2cc3ccccc3nc2SCc2ccccc2)CC1,c1ccc(CSc2nc3ccccc3cc2CNCCN2CCNCC2)cc1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
SVSBIDILOVJTHE-UHFFFAOYSA-N,CCN1CCC(CCNCc2cc3ccccc3nc2SC)CC1,SVSBIDILOVJTHE-UHFFFAOYSA-N,C20H29N3S,343.54,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WARD2024-13,C20H29N3S,343.54000000000013,CCN1CCC(CCNCc2cc3ccccc3nc2SC)CC1,c1ccc2ncc(CNCCC3CCNCC3)cc2c1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
TXZGGVBUNOVBHL-UHFFFAOYSA-N,C=CCOc1nc2ccccc2cc1C(c1cc2ccccc2nc1OCC=C)C(O)(CCN(C)C)c1ccc(Br)cc1,TXZGGVBUNOVBHL-UHFFFAOYSA-N,C36H36BrN3O3,638.606,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL3753673,C36H36BrN3O3,638.6060000000003,C=CCOc1nc2ccccc2cc1C(c1cc2ccccc2nc1OCC=C)C(O)(CCN(C)C)c1ccc(Br)cc1,c1ccc(CC(c2cnc3ccccc3c2)c2cnc3ccccc3c2)cc1,pass,,parsed_but_not_independently_identity_verified,not_all_schemes_redrawn_in_this_audit
UHMXBFQXPUTOKL-UHFFFAOYSA-N,CCN1CCC(CCNCc2cc(-c3ccc(C)cc3)cnc2SCc2ccccc2)CC1,UHMXBFQXPUTOKL-UHFFFAOYSA-N,C29H37N3S,459.703,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA300,C29H37N3S,459.7030000000002,CCN1CCC(CCNCc2cc(-c3ccc(C)cc3)cnc2SCc2ccccc2)CC1,c1ccc(CSc2ncc(-c3ccccc3)cc2CNCCC2CCNCC2)cc1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
UOLLIRMONGMMAV-UHFFFAOYSA-N,CSc1nc2ccccc2cc1CNCCc1ncc[nH]1,UOLLIRMONGMMAV-UHFFFAOYSA-N,C16H18N4S,298.415,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WARD2024-21,C16H18N4S,298.41499999999996,CSc1nc2ccccc2cc1CNCCc1ncc[nH]1,c1ccc2ncc(CNCCc3ncc[nH]3)cc2c1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
UVOSDXRUYYKIMQ-UHFFFAOYSA-N,CN(C)C1=CC=C2C=CC=C(C=CC=C1)CSc1nc3ccccc3cc1CNC2,UVOSDXRUYYKIMQ-UHFFFAOYSA-N,C26H27N3S,413.59,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WARD2024-12,C26H27N3S,413.59000000000015,CN(C)C1=CC=C2C=CC=C(C=CC=C1)CSc1nc3ccccc3cc1CNC2,C1=CC=CC2=CC=CC(=CC=C1)CNCc1cc3ccccc3nc1SC2,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
UYSBYFPUEOTVDZ-UHFFFAOYSA-N,CSc1nc2ccccc2cc1CNCCc1cccn1C,UYSBYFPUEOTVDZ-UHFFFAOYSA-N,C18H21N3S,311.454,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WARD2024-17,C18H21N3S,311.454,CSc1nc2ccccc2cc1CNCCc1cccn1C,c1c[nH]c(CCNCc2cnc3ccccc3c2)c1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
VBVMGRCNUWHODZ-UHFFFAOYSA-N,C=CCOc1nc2ccccc2cc1C(c1cc2ccccc2nc1OCC=C)C(O)(CCN(C)C)c1cccc(Br)c1,VBVMGRCNUWHODZ-UHFFFAOYSA-N,C36H36BrN3O3,638.606,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL3752547,C36H36BrN3O3,638.6060000000003,C=CCOc1nc2ccccc2cc1C(c1cc2ccccc2nc1OCC=C)C(O)(CCN(C)C)c1cccc(Br)c1,c1ccc(CC(c2cnc3ccccc3c2)c2cnc3ccccc3c2)cc1,pass,,parsed_but_not_independently_identity_verified,not_all_schemes_redrawn_in_this_audit
VPHZLIOARSIWRC-UHFFFAOYSA-N,CCN1CCC(CCNCc2cc(-c3ccc(OC)c(F)c3)cnc2SCc2ccccc2)CC1,VPHZLIOARSIWRC-UHFFFAOYSA-N,C29H36FN3OS,493.692,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA306,C29H36FN3OS,493.69200000000023,CCN1CCC(CCNCc2cc(-c3ccc(OC)c(F)c3)cnc2SCc2ccccc2)CC1,c1ccc(CSc2ncc(-c3ccccc3)cc2CNCCC2CCNCC2)cc1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
VVBRNCOBMAIGNK-GAZRNQOFSA-N,COc1ccc(/C=C2/S/C(=N/N=C/c3ccccc3O)NC2=O)cc1,VVBRNCOBMAIGNK-GAZRNQOFSA-N,C18H15N3O3S,353.403,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL4560563,C18H15N3O3S,353.4030000000001,COc1ccc(C=C2SC(=NN=Cc3ccccc3O)NC2=O)cc1,O=C1NC(=NN=Cc2ccccc2)SC1=Cc1ccccc1,pass,,parsed_but_not_independently_identity_verified,not_all_schemes_redrawn_in_this_audit
WDZUWGIXBFSGCL-UHFFFAOYSA-N,CN(C)CCNCc1cc2c3nc1SCC(=CC=CC=CC=2)C=CC=3,WDZUWGIXBFSGCL-UHFFFAOYSA-N,C21H25N3S,351.519,input_only,source_structure_not_resolved,False,FRAUNFELTER2023-4,C21H25N3S,351.519,CN(C)CCNCc1cc2c3nc1SCC(=CC=CC=CC=2)C=CC=3,C1=CC=C2C=CC=c3nc(ccc3=CC=C1)SC2,pass,,source_structure_not_resolved,not_all_schemes_redrawn_in_this_audit
WEEJBHMAXXLXSK-SFHVURJKSA-N,O=c1cc(Cc2cccc3ccccc23)c(C2CC2)c2n1[C@H](c1nnn[nH]1)CS2,WEEJBHMAXXLXSK-SFHVURJKSA-N,C22H19N5OS,401.495,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL402124,C22H19N5OS,401.49500000000006,O=c1cc(Cc2cccc3ccccc23)c(C2CC2)c2n1C(c1nnn[nH]1)CS2,O=c1cc(Cc2cccc3ccccc23)c(C2CC2)c2n1C(c1nnn[nH]1)CS2,pass,,parsed_but_not_independently_identity_verified,not_all_schemes_redrawn_in_this_audit
WFBMDLWJDONKOF-UHFFFAOYSA-N,Brc1cnc(SCc2ccccc2)c(CNCc2ccc(CN3CCCC3)cc2)c1,WFBMDLWJDONKOF-UHFFFAOYSA-N,C25H28BrN3S,482.491,paper_scheme_reconstructed,verified_against_source_scheme_and_formula,True,WSA293,C25H28BrN3S,482.4910000000004,Brc1cnc(SCc2ccccc2)c(CNCc2ccc(CN3CCCC3)cc2)c1,c1ccc(CSc2ncccc2CNCc2ccc(CN3CCCC3)cc2)cc1,pass,,verified_against_source_scheme_and_formula,not_all_schemes_redrawn_in_this_audit
WGWNRWFMNFHBIY-SFHVURJKSA-N,O=C(NO)[C@@H]1CSc2c(C3CC3)c(Cc3cccc4ccccc34)cc(=O)n21,WGWNRWFMNFHBIY-SFHVURJKSA-N,C22H20N2O3S,392.48,input_canonicalized,parsed_but_not_independently_identity_verified,False,CHEMBL402123,C22H20N2O3S,392.4800000000001,O=C(NO)C1CSc2c(C3CC3)c(Cc3cccc4ccccc34)cc(=O)n21,O=c1cc(Cc2cccc3ccccc23)c(C2CC2)c2n1CCS2,pass,,parsed_but_not_independently_identity_verified,not_all_schemes_redrawn_in_this_audit
